ID,playerid,name,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice,av_1,av_2,av_3,av_4,av_5,av_6,Shothardness,tappedtheball,ImportantnessGame,Importantnessgamegrouped,specialMatch,lastGKdive,CluborNationalTeam,competition,Minute,secondlastpenalty,secondlastGKdive,JColourPlayer,JColourGK,foot_cat,mvmtGK_cat,standposGK_cat,ingameshoot_cat,compleague_cat,decider_cat,lastpenaltygoal_cat,lastpenaldir_cat,roundnogroup_cat,heightGK_cat,posdef_cat,GKmvmttyp_cat,opplstpengoal_cat,shothardness_cat,tappedball_cat,gameimportance_cat,specialmatch_cat,lastGKdive_cat,clubornational_cat,compCup_cat,compECC_cat,compNational_cat,compQuali_cat,jerseygreyGK_cat,jerseyredGK_cat,jerseyblackGK_cat,jerseyblueGK_cat,jerseygreenGK_cat,jerseyyellowGK_cat,jerseyorangeGK_cat,jerseygoldPL_cat,jerseyblackPL_cat,jerseywhitePL_cat,jerseypinkPL_cat,jerseypurplePL_cat,jerseyredPL_cat,jerseygreenPL_cat,secondlastGKdivedir_cat,secondlastpen_cat,Great_GK,GK_already_saved_one
286,89,Cavani,R,jumping on spot,central,Ingame,League,188,no,Goal,6,3,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,6,1,1,1,1,1,1,normal,no,2,important,no,Right,Club,League,75,Saved,Left,Blue,Green,1,2,2,0,1,0,2,3,0,7,0,1,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,no,no
287,89,Cavani,R,no,central,Ingame,Cup,184,no,Goal,6,6,Final,null,ST,still,0.061001799,0.107575758,0.03115312,0.159040073,0.228548354,0.173968701,4,1,1,1,1,1,1,strong,yes,5,normal,no,Left,Club,Cup,74,Goal,Right,Blue,Yellow,1,0,2,0,0,0,2,6,0,3,0,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,no,no
288,89,Cavani,R,no,central,Ingame,League,188,no,Goal,7,4,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,6,1,1,1,1,1,1,strong,no,3,normal,no,Left,Club,League,51,Goal,Left,Blue,Yellow,1,0,2,0,1,0,2,4,0,7,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,no,no
289,89,Cavani,R,no,central,Ingame,League,188,no,Goal,9,6,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4,1,1,1,1,1,1,strong,yes,3,normal,no,Left,Club,League,71,Goal,Left,White,Red,1,0,2,0,1,0,2,6,0,7,0,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,no,no
290,89,Cavani,R,no,central,Ingame,League,182,no,Goal,4,4,null,null,ST,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,6,1,1,1,1,1,1,normal,no,3,unimportant,no,Left,Club,League,57,Goal,Left,Blue,Red,1,0,2,0,1,0,2,4,0,1,0,2,0,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,no,no
291,89,Cavani,R,links geneigt,central,Ingame,League,188,no,Goal,9,6,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,3,1,1,1,1,1,1,strong,no,3,important,yes,Left,Club,League,42,Goal,Left,Blue,Red,1,1,2,0,1,0,2,6,0,7,0,1,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,yes,no
292,89,Cavani,R,no,central,Shootout,Cup,197,no,Goal,6,3,Final,Goal,ST,still,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,6,1,1,1,1,1,1,normal,no,5,unimportant,no,Left,Club,Cup,null,Goal,Left,White,Black,1,0,2,1,0,0,2,3,0,16,0,2,1,2,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,no,no
293,89,Cavani,R,no,central,Ingame,League,191,no,Goal,9,6,null,null,ST,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,6,1,1,1,1,1,1,normal,yes,2,normal,no,Left,Club,League,90,Goal,Left,Blue,Blue,1,0,2,0,1,0,2,6,0,10,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,no,no
294,89,Cavani,R,no,central,Ingame,League,190,no,Saved,6,6,null,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4,1,1,1,1,1,1,strong,yes,3,normal,no,Right,Club,League,24,Goal,Left,Blue,Yellow,1,0,2,0,1,0,1,6,0,9,0,2,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,no,no
295,89,Cavani,R,no,central,Ingame,UCL,190,no,Goal,4,4,Group,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,6,1,1,1,1,1,1,normal,no,2,normal,no,Left,Club,UCL,84,Saved,Right,White,Black,1,0,2,0,0,0,2,4,1,9,0,2,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,no,no
296,89,Cavani,R,jumping on spot,central,Shootout,EL,189,yes,Goal,9,6,Final,Goal,ST,moving,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,4,1,1,1,1,1,1,strong,no,5,normal,no,Left,Club,EL,null,Goal,Left,Red,Orange,1,2,2,1,0,1,2,6,0,8,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,no,no
297,89,Cavani,R,no,central,Shootout,Copa America,183,no,Goal,4,4,Quarter-Final,Goal,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6,1,1,1,1,1,1,normal,no,4,normal,no,Right,National Team,Copa America,null,Goal,Left,Blue,Green,1,0,2,1,0,0,2,4,0,2,0,2,1,2,0,1,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,no,no
298,90,Cazorla,R,no,central,Shootout,EM,192,no,null,null,null,Quarter-Final,null,MF,still,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,4,1,1,1,1,1,1,normal,no,4,normal,yes,null,National Team,EM,null,null,null,Red,Green,1,0,2,1,0,0,0,0,0,11,0,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,yes,no
299,91,Cheryshev,L,no,central,Shootout,WM,192,no,null,null,null,last sixteen,Goal,MF,still,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,5,1,1,1,1,1,1,normal,no,4,normal,yes,null,National Team,WM,null,null,null,White,Green,0,0,2,1,0,0,0,0,0,11,0,2,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,no,no
300,92,Cholevas,L,jumping on spot,central,Shootout,WM,185,no,null,null,null,last sixteen,Goal,DF,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,3,1,1,1,1,1,1,normal,no,4,normal,no,null,National Team,WM,null,null,null,Blue,Green,0,2,2,1,0,0,0,0,0,4,1,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
301,93,Christodoulopoulos,R,jumping on spot,central,Shootout,WM,185,no,null,null,null,last sixteen,Goal,MF,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,6,1,1,1,1,1,1,normal,no,4,normal,no,null,National Team,WM,null,null,null,Blue,Green,1,2,2,1,0,0,0,0,0,4,0,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
302,94,Cole,L,no,central,Shootout,EM,192,no,null,null,null,Quarter-Final,Goal,DF,still,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,6,1,1,1,1,1,1,weak,yes,4,normal,yes,null,National Team,EM,null,null,null,White,Green,0,0,2,1,0,0,0,0,0,11,1,2,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,yes,no
303,95,Collins,L,no,central,Ingame,League,194,no,null,null,null,null,null,DF,still,0.067467316,0.111363636,0.034455007,0.175896565,0.252771956,0.192407463,4,1,1,1,1,1,1,normal,yes,3,normal,no,null,Club,League,79,null,null,Blue,Blue,0,0,2,0,1,0,0,0,0,13,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no
304,96,Coquelin,R,no,central,Shootout,EL,192,no,null,null,null,Final,Goal,MF,still,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,3,1,1,1,1,1,1,normal,no,5,normal,yes,null,Club,EL,null,null,null,Yellow,Black,1,0,2,1,0,0,0,0,0,11,0,2,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
305,97,Correa,R,no,central,Ingame,League,191,no,null,null,null,null,null,ST,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,6,1,1,1,1,1,1,normal,no,3,normal,no,null,Club,League,36,null,null,Blue,Green,1,0,2,0,1,0,0,0,0,10,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
306,98,Costa,L,jumping on spot,central,Shootout,Cup,190,no,null,null,null,2,Goal,MF,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,6,1,1,1,1,1,1,strong,no,3,normal,no,null,Club,Cup,null,null,null,Red,Yellow,0,2,2,1,0,0,0,0,0,9,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,no,no
307,99,Coutinho,R,jumping on spot,central,Ingame,League,192,no,null,null,null,null,null,MF,moving,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,1,1,1,1,1,1,1,normal,no,3,normal,no,null,Club,League,62,null,null,Red,Yellow,1,2,2,0,1,0,0,0,0,11,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,no,no
308,100,Cruz,R,no,central,Shootout,WM,190,no,null,null,null,Quarter-Final,Goal,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,1,1,1,1,1,1,1,normal,no,4,normal,yes,null,National Team,WM,null,null,null,Blue,Blue,1,0,2,1,0,0,0,0,0,9,0,2,1,2,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no
309,101,Cuadrado,R,no,central,Ingame,WM,185,no,null,null,null,Group,null,MF,still,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,5,1,1,1,1,1,1,strong,no,3,normal,no,null,National Team,WM,17,null,null,Yellow,Green,1,0,2,0,0,0,0,0,1,4,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
310,101,Cuadrado,R,no,central,Shootout,WM,185,no,null,null,null,last sixteen,Goal,MF,still,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1,1,1,1,1,1,1,strong,no,4,normal,yes,null,National Team,WM,null,null,null,Yellow,Green,1,0,2,1,0,0,0,0,0,4,0,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
311,102,Cueva,R,no,central,Ingame,WM,189,no,null,null,null,Group,null,MF,still,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,2,1,1,1,1,1,1,normal,no,3,normal,no,null,National Team,WM,45,null,null,White,Black,1,0,2,0,0,0,0,0,1,8,0,2,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,no
312,103,Cunha,R,links geneigt,central,Ingame,League,190,no,null,null,null,null,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,5,1,1,1,1,1,1,normal,no,3,normal,no,null,Club,League,44,null,null,Blue,Green,1,1,2,0,1,0,0,0,0,9,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
313,103,Cunha,R,step forward,central,Ingame,League,187,no,Goal,8,5,null,null,ST,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,6,1,1,1,1,1,1,normal,no,3,normal,yes,Left,Club,League,79,null,null,Blue,Red,1,2,2,0,1,0,2,5,0,6,0,1,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
314,103,Cunha,R,jumping on spot,central,Ingame,League,196,no,Goal,9,6,null,null,ST,moving,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,6,1,1,1,1,1,1,normal,yes,3,normal,no,Left,Club,League,21,Goal,Left,Blue-White,Orange,1,2,2,0,1,0,2,6,0,15,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,no,no
315,104,Czichos,L,jumping on spot,central,Shootout,Cup,195,no,null,null,null,last sixteen,null,DF,moving,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,5,1,1,1,1,1,1,normal,no,3,important,no,null,Club,Cup,null,null,null,Yellow,Blue,0,2,2,1,0,0,0,0,0,14,1,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no
316,105,Dabbur,R,no,central,Ingame,League,197,yes,null,null,null,null,null,ST,still,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,4,1,1,1,1,1,1,normal,yes,3,normal,no,null,Club,League,90,null,null,Blue,Grey,1,0,2,0,1,1,0,0,0,16,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
317,105,Dabbur,R,no,slightly right,Ingame,EL,196,no,Saved,7,4,last thirty-two,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,4,1,1,1,1,1,1,normal,yes,3,normal,no,Left,Club,EL,63,null,null,White,Green,1,0,3,0,0,0,1,4,0,15,0,2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,no,no
318,106,Daniel James,R,no,central,Shootout,EL,189,yes,null,null,null,Final,Goal,MF,still,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,6,1,1,1,1,1,1,normal,no,5,important,yes,null,Club,EL,null,null,null,Red,Orange,1,0,2,1,0,1,0,0,0,8,0,2,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,no,no
319,107,Darida,R,no,central,Shootout,Cup,185,no,null,null,null,2,Goal,MF,still,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1,1,1,1,1,1,1,normal,no,3,normal,no,null,Club,Cup,null,null,null,Blue-White,Green,1,0,2,1,0,0,0,0,0,4,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
320,108,Darmian,R,jumping on spot,central,Shootout,EM,193,no,null,null,null,Quarter-Final,Goal,DF,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,yes,4,normal,yes,null,National Team,EM,null,null,null,Blue,Black,1,2,2,1,0,0,0,0,0,12,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no
321,109,David Luiz,R,no,central,Shootout,EL,189,no,null,null,null,Semi-Final,Saved,DF,still,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,4,1,1,1,1,1,1,strong,no,5,normal,no,null,Club,EL,null,null,null,Blue,Yellow,1,0,2,1,0,0,0,0,0,8,1,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no,no
322,110,de Bruyne,R,no,central,Ingame,League,197,no,null,null,null,null,null,MF,still,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,3,1,1,1,1,1,1,normal,yes,3,normal,no,null,Club,League,43,null,null,Blue,Green,1,0,2,0,1,0,0,0,0,16,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
323,111,de Gea,R,no,central,Shootout,EL,189,yes,null,null,null,Final,Goal,GK,still,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,6,1,1,1,1,1,1,normal,yes,5,important,yes,null,Club,EL,null,null,null,Red,Orange,1,0,2,1,0,1,0,0,0,8,0,2,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,no,no
324,112,dè Guzmán,R,no,central,Shootout,EL,186,no,null,null,null,Semi-Final,Saved,MF,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,4,1,1,1,1,1,1,normal,no,5,normal,yes,null,Club,EL,null,null,null,White,Green,1,0,2,1,0,0,0,0,0,5,0,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,no,no
325,113,De Rossi,R,no,slightly left,Shootout,WM,180,no,null,null,null,Final,Missed,MF,still,0.058415592,0.106060606,0.029832365,0.152297476,0.218858913,0.166593196,1,1,1,1,1,1,1,normal,no,5,normal,yes,null,National Team,WM,null,null,null,Blue,Black,1,0,1,1,0,0,0,0,0,1,0,2,2,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no
326,113,De Rossi,R,no,central,Shootout,EM,182,no,null,null,null,Quarter-Final,null,MF,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,4,1,1,1,1,1,1,normal,yes,4,normal,yes,null,National Team,EM,null,null,null,White,Black,1,0,2,1,0,0,0,0,0,1,0,2,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,no
327,114,de Sciglio,R,jumping on spot,central,Shootout,EM,193,no,null,null,null,Quarter-Final,Goal,DF,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,1,1,1,1,1,1,1,normal,no,4,normal,yes,null,National Team,EM,null,null,null,Blue,Black,1,2,2,1,0,0,0,0,0,12,1,1,1,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no
328,115,Del Piero,R,no,central,Shootout,WM,180,no,null,null,null,Final,Goal,ST,still,0.058415592,0.106060606,0.029832365,0.152297476,0.218858913,0.166593196,1,1,1,1,1,1,1,normal,no,5,unimportant,yes,null,National Team,WM,null,null,null,Blue,Black,1,0,2,1,0,0,0,0,0,1,0,2,1,2,0,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no
329,116,Dennis,R,jumping on spot,slightly right,Ingame,Cup,195,no,null,null,null,last sixteen,null,ST,moving,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,4,1,1,1,1,1,1,normal,yes,3,important,no,null,Club,Cup,78,null,null,Yellow,Blue,1,2,3,0,0,0,0,0,0,14,0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,no
330,117,Depay,R,no,central,Ingame,EM,191,no,null,null,null,Group,null,ST,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,4,1,1,1,1,1,1,strong,no,3,normal,no,null,National Team,EM,11,null,null,Orange,Green,1,0,2,0,0,0,0,0,1,10,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
331,118,Di Natale,R,no,central,Shootout,EM,182,no,null,null,null,Quarter-Final,null,ST,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,6,1,1,1,1,1,1,normal,yes,4,normal,yes,null,National Team,EM,null,null,null,White,Black,1,0,2,1,0,0,0,0,0,1,0,2,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,no
332,119,Diamanti,L,no,central,Shootout,EM,196,yes,null,null,null,Quarter-Final,Saved,MF,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,4,1,1,1,1,1,1,normal,no,4,normal,yes,null,National Team,EM,null,null,null,Blue,Red,0,0,2,1,0,1,0,0,0,15,0,2,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no
333,120,Diaz,R,no,central,Shootout,WM,186,no,null,null,null,last sixteen,Saved,MF,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,5,1,1,1,1,1,1,normal,no,4,important,yes,null,National Team,WM,null,null,null,Red,Grey,1,0,2,1,0,0,0,0,0,5,0,2,2,2,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,no
334,121,Dier,R,no,slightly right,Shootout,WM,183,yes,null,null,null,last sixteen,Saved,DF,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,4,1,1,1,1,1,1,normal,yes,4,normal,no,null,National Team,WM,null,null,null,Red,Blue,1,0,3,1,0,1,0,0,0,2,1,2,2,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,no,no
335,122,Dilrosun,L,jumping on spot,central,Shootout,Cup,185,no,null,null,null,2,Saved,MF,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,6,1,1,1,1,1,1,normal,no,3,normal,no,null,Club,Cup,null,null,null,Blue-White,Green,0,2,2,1,0,0,0,0,0,4,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
336,123,Dindane,R,no,central,Ingame,WM,186,no,null,null,null,Group,null,ST,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,6,1,1,1,1,1,1,normal,no,2,normal,no,null,National Team,WM,37,null,null,Orange,Red,1,0,2,0,0,0,0,0,1,5,0,2,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
337,124,Donovan,R,no,central,Ingame,WM,183,no,null,null,null,last sixteen,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6,1,1,1,1,1,1,normal,no,4,normal,no,null,National Team,WM,62,null,null,White,Blue,1,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,no,no
338,125,Dost,R,links geneigt,central,Ingame,League,197,no,null,null,null,null,null,ST,moving,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,5,1,1,1,1,1,1,normal,no,3,important,no,null,Club,League,63,null,null,Red-Black,Grey,1,1,2,0,1,0,0,0,0,16,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
339,126,Dragovic,R,no,central,Ingame,EM,194,no,null,null,null,Group,null,DF,still,0.067467316,0.111363636,0.034455007,0.175896565,0.252771956,0.192407463,4,1,1,1,1,1,1,normal,no,4,normal,no,null,National Team,EM,37,null,null,Red,White,1,0,2,0,0,0,0,0,1,13,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,no,no
340,127,Draxler,R,no,central,Shootout,EM,192,no,null,null,null,Quarter-Final,Missed,MF,still,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,6,1,1,1,1,1,1,normal,no,4,important,yes,null,National Team,EM,null,null,null,White,Red,1,0,2,1,0,0,0,0,0,11,0,2,2,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,no
341,127,Drexler,R,no,central,Shootout,Cup,193,no,null,null,null,2,Goal,MF,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,1,1,1,1,1,1,1,normal,no,3,important,no,null,Club,Cup,null,null,null,White,Blue,1,0,2,1,0,0,0,0,0,12,0,2,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,no,no
342,128,Duda,R,no,central,Ingame,Cup,185,no,null,null,null,2,null,MF,still,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,4,1,1,1,1,1,1,normal,no,3,important,no,null,Club,Cup,85,null,null,Blue-White,Green,1,0,2,0,0,0,0,0,0,4,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,no
343,128,Duda,R,no,central,Ingame,League,195,no,Goal,7,4,null,null,MF,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,4,1,1,1,1,1,1,normal,no,3,important,no,Right,Club,League,45,null,null,Yellow,Black,1,0,2,0,1,0,2,4,0,14,0,2,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
344,128,Duda,R,no,central,Ingame,League,194,no,Goal,7,4,null,null,MF,still,0.067467316,0.111363636,0.034455007,0.175896565,0.252771956,0.192407463,6,1,1,1,1,1,1,normal,no,3,normal,yes,Left,Club,League,35,Goal,Right,White,Green,1,0,2,0,1,0,2,4,0,13,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,no,no
345,128,Duda,R,jumping on spot,central,Ingame,League,194,no,Goal,9,6,null,null,MF,moving,0.067467316,0.111363636,0.034455007,0.175896565,0.252771956,0.192407463,4,1,1,1,1,1,1,normal,yes,4,normal,no,Left,Club,League,43,Goal,Left,White,Blue,1,2,2,0,1,0,2,6,0,13,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,no,no
346,129,Dybala,L,links geneigt,central,Ingame,League,187,no,null,null,null,null,null,ST,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,6,1,1,1,1,1,1,normal,no,3,normal,no,null,Club,League,26,null,null,Red-White,Black,0,1,2,0,1,0,0,0,0,6,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
347,129,Dybala,L,no,central,Ingame,League,188,no,Missed,9,6,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,1,1,1,1,1,1,1,normal,yes,2,normal,no,Left,Club,League,26,Missed,Left,Pink,Green,0,0,2,0,1,0,1,6,0,7,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,no,no
