ID,playerid,name,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice,av_1,av_2,av_3,av_4,av_5,av_6,Shothardness,tappedtheball,ImportantnessGame,Importantnessgamegrouped,specialMatch,lastGKdive,CluborNationalTeam,competition,Minute,secondlastpenalty,secondlastGKdive,JColourPlayer,JColourGK,foot_cat,mvmtGK_cat,standposGK_cat,ingameshoot_cat,compleague_cat,decider_cat,lastpenaltygoal_cat,lastpenaldir_cat,roundnogroup_cat,heightGK_cat,posdef_cat,GKmvmttyp_cat,opplstpengoal_cat,shothardness_cat,tappedball_cat,gameimportance_cat,specialmatch_cat,lastGKdive_cat,clubornational_cat,compCup_cat,compECC_cat,compNational_cat,compQuali_cat,jerseygreyGK_cat,jerseyredGK_cat,jerseyblackGK_cat,jerseyblueGK_cat,jerseygreenGK_cat,jerseyyellowGK_cat,jerseyorangeGK_cat,jerseygoldPL_cat,jerseyblackPL_cat,jerseywhitePL_cat,jerseypinkPL_cat,jerseypurplePL_cat,jerseyredPL_cat,jerseygreenPL_cat,secondlastGKdivedir_cat,secondlastpen_cat,Great_GK,GK_already_saved_one
12,6,Agüero,R,no,central,Ingame,League,195,no,Goal,9,6,null,null,ST,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,3,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,League,10,Goal,Left,Blue,Green,1,0,2,0,1,0,2,6,0,14,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,no,no
13,6,Agüero,R,no,central,Ingame,League,196,no,Goal,3,3,null,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,4,1,1,1,1,1,1,normal,no,3,important,yes,Left,Club,League,78,Goal,Left,Blue,Yellow,1,0,2,0,1,0,2,3,0,15,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,yes,no
14,6,Agüero,R,no,central,Ingame,League,193,no,Goal,7,4,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,important,no,Right,Club,League,52,Goal,Left,Blue,Red,1,0,2,0,1,0,2,4,0,12,0,2,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,no,no
15,6,Agüero,R,no,central,Ingame,UCL,182,no,Goal,9,6,Group,null,ST,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,6,1,1,1,1,1,1,normal,no,3,important,no,Right,Club,UCL,73,Goal,Right,Blue,Orange,1,0,2,0,0,0,2,6,1,1,0,2,0,2,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,yes,no
16,6,Agüero,R,no,central,Ingame,League,199,no,Goal,9,6,null,null,ST,still,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,6,1,1,1,1,1,1,strong,no,3,important,no,Left,Club,League,74,Goal,Right,Blue,Orange,1,0,2,0,1,0,2,6,0,16,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,no,no
17,6,Agüero,R,no,central,Ingame,Cup,190,no,Goal,9,6,last sixteen,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,1,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,Cup,15,Goal,Left,Blue,Yellow,1,0,2,0,0,0,2,6,0,9,0,2,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,no,no
18,6,Agüero,R,no,slightly right,Ingame,WM-Quali,195,no,Goal,1,1,Group,null,ST,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,4,1,1,1,1,1,1,normal,no,3,important,no,Right,National Team,WM-Quali,4,Goal,Right,Blue-White,White,1,0,3,0,0,0,2,1,1,14,0,2,0,2,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,no,no
19,6,Agüero,R,jumping on spot,central,Ingame,League,191,no,Goal,7,4,null,null,ST,moving,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,6,1,1,1,1,1,1,normal,yes,3,important,no,Right,Club,League,69,Goal,Right,Blue,Black,1,2,2,0,1,0,2,4,0,10,0,1,0,2,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,no,no
20,6,Agüero,R,no,central,Ingame,UCL,186,no,Saved,9,6,Group,null,ST,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,3,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,UCL,3,Goal,Right,Blue,Yellow,1,0,2,0,0,0,1,6,1,5,0,2,0,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,no,no
21,6,Agüero,R,step right,central,Ingame,UCL,193,no,Goal,3,3,Group,null,ST,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,4,1,1,1,1,1,1,strong,no,3,normal,no,Right,Club,UCL,33,Saved,Right,Blue,Yellow,1,3,2,0,0,0,2,3,1,12,0,1,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,no,no
22,6,Agüero,R,no,central,Shootout,WM,187,no,Goal,7,4,Semi-Final,Saved,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4,1,1,1,1,1,1,normal,no,5,normal,yes,Right,National Team,WM,null,Goal,Right,Blue-White,Green,1,0,2,1,0,0,2,4,0,6,0,2,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,no,no
23,6,Agüero,R,no,central,Ingame,UCL,187,no,Goal,7,4,Group,null,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,6,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,UCL,4,Goal,Right,Blue,Grey,1,0,2,0,0,0,2,4,1,6,0,2,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,no,no
24,6,Agüero,R,rechts geneigt,central,Ingame,League,188,no,Goal,9,6,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,20,Goal,Left,Blue,Purple,1,3,2,0,1,0,2,6,0,7,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,yes,no
25,6,Agüero,R,rechts geneigt,central,Ingame,League,188,no,Goal,7,4,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,5,1,1,1,1,1,1,normal,yes,3,normal,no,Right,Club,League,33,Goal,Left,Blue,Purple,1,3,2,0,1,0,2,4,0,7,0,1,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,yes,no
26,6,Agüero,R,step left,central,Ingame,League,188,no,Saved,8,5,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,68,Goal,Right,Blue,Purple,1,1,2,0,1,0,1,5,0,7,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,yes,yes
27,6,Agüero,R,jumping on spot,central,Ingame,UCL,193,no,Goal,7,4,Group,null,ST,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,yes,Right,Club,UCL,22,Saved,Right,Blue,Green,1,2,2,0,0,0,2,4,1,12,0,1,0,2,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,yes,no
28,6,Agüero,R,step left,slightly left,Ingame,League,199,no,Goal,6,6,null,null,ST,moving,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,6,1,1,1,1,1,1,normal,no,3,important,no,Right,Club,League,70,Goal,Right,Blue,Green,1,1,1,0,1,0,2,6,0,16,0,1,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,no,no
29,6,Agüero,R,no,central,Ingame,League,193,no,Goal,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,2,Goal,Right,Blue,Red,1,0,2,0,1,0,2,6,0,12,0,2,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,yes,no
30,6,Agüero,R,no,central,Ingame,UCL,187,no,Goal,9,6,last sixteen,null,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4,1,1,1,1,1,1,normal,yes,4,normal,yes,Center,Club,UCL,78,Goal,Right,Blue,Grey,1,0,2,0,0,0,2,6,0,6,0,2,0,2,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,yes,no
31,6,Agüero,R,no,central,Ingame,League,191,no,Saved,4,4,null,null,ST,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,4,1,1,1,1,1,1,strong,no,2,normal,no,Left,Club,League,64,Goal,Center,Blue,Purple,1,0,2,0,1,0,1,4,0,10,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,no,no
32,6,Agüero,R,no,central,Ingame,Friendly,182,no,Goal,4,4,null,null,ST,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,6,1,1,1,1,1,1,normal,no,1,important,no,Right,National Team,Friendly,29,Saved,Left,Blue-White,Grey,1,0,2,0,0,0,2,4,0,1,0,2,0,2,0,2,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,no,no
