ID,playerid,name,Playerfit,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice,av_1,av_2,av_3,av_4,av_5,av_6,Shothardness,tappedtheball,ImportantnessGame,Importantnessgamegrouped,specialMatch,lastGKdive,CluborNationalTeam,competition,Minute,secondlastpenalty,secondlastGKdive,JColourPlayer,JColourGK,Great GK?,Status,Great_GK,foot_cat,mvmtGK_cat,standposGK_cat,ingameshoot_cat,compleague_cat,decider_cat,lastpenaltygoal_cat,lastpenaldir_cat,roundnogroup_cat,heightGK_cat,posdef_cat,GKmvmttyp_cat,opplstpengoal_cat,shothardness_cat,tappedball_cat,gameimportance_cat,specialmatch_cat,lastGKdive_cat,clubornational_cat,compCup_cat,compECC_cat,compNational_cat,compQuali_cat,jerseygreyGK_cat,jerseyredGK_cat,jerseyblackGK_cat,jerseyblueGK_cat,jerseygreenGK_cat,jerseyyellowGK_cat,jerseyorangeGK_cat,jerseygoldPL_cat,jerseyblackPL_cat,jerseywhitePL_cat,jerseypinkPL_cat,jerseypurplePL_cat,jerseyredPL_cat,jerseygreenPL_cat,secondlastGKdivedir_cat,secondlastpen_cat
11,6,AgÃ_ero,3,R,no,central,Ingame,League,193,no,Goal,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,72,Goal,Right,Blue,Green,yes,Goal,yes,1,0,2,0,1,0,2,6,0,12,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
12,6,AgÃ_ero,3,R,no,central,Ingame,League,195,no,Goal,9,6,null,null,ST,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,3,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,League,10,Goal,Left,Blue,Green,no,Goal,no,1,0,2,0,1,0,2,6,0,14,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
13,6,AgÃ_ero,3,R,no,central,Ingame,League,196,no,Goal,3,3,null,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,4,1,1,1,1,1,1,normal,no,3,important,yes,Left,Club,League,78,Goal,Left,Blue,Yellow,yes,Goal,yes,1,0,2,0,1,0,2,3,0,15,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
14,6,AgÃ_ero,3,R,no,central,Ingame,League,193,no,Goal,7,4,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,important,no,Right,Club,League,52,Goal,Left,Blue,Red,no,Goal,no,1,0,2,0,1,0,2,4,0,12,0,2,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,6,AgÃ_ero,3,R,no,central,Ingame,UCL,182,no,Goal,9,6,Group,null,ST,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,6,1,1,1,1,1,1,normal,no,3,important,no,Right,Club,UCL,73,Goal,Right,Blue,Orange,yes,Goal,yes,1,0,2,0,0,0,2,6,1,1,0,2,0,2,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
16,6,AgÃ_ero,3,R,no,central,Ingame,League,199,no,Goal,9,6,null,null,ST,still,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,6,1,1,1,1,1,1,strong,no,3,important,no,Left,Club,League,74,Goal,Right,Blue,Orange,no,Goal,no,1,0,2,0,1,0,2,6,0,16,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
17,6,AgÃ_ero,3,R,no,central,Ingame,Cup,190,no,Goal,9,6,last sixteen,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,1,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,Cup,15,Goal,Left,Blue,Yellow,no,Goal,no,1,0,2,0,0,0,2,6,0,9,0,2,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
18,6,AgÃ_ero,3,R,no,slightly right,Ingame,WM-Quali,195,no,Goal,1,1,Group,null,ST,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,4,1,1,1,1,1,1,normal,no,3,important,no,Right,National Team,WM-Quali,4,Goal,Right,Blue-White,White,no,Goal,no,1,0,3,0,0,0,2,1,1,14,0,2,0,2,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
19,6,AgÃ_ero,3,R,jumping on spot,central,Ingame,League,191,no,Goal,7,4,null,null,ST,moving,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,6,1,1,1,1,1,1,normal,yes,3,important,no,Right,Club,League,69,Goal,Right,Blue,Black,no,Saved,no,1,2,2,0,1,0,2,4,0,10,0,1,0,2,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
20,6,AgÃ_ero,3,R,no,central,Ingame,UCL,186,no,Saved,9,6,Group,null,ST,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,3,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,UCL,3,Goal,Right,Blue,Yellow,no,Goal,no,1,0,2,0,0,0,1,6,1,5,0,2,0,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
21,6,AgÃ_ero,3,R,step right,central,Ingame,UCL,193,no,Goal,3,3,Group,null,ST,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,4,1,1,1,1,1,1,strong,no,3,normal,no,Right,Club,UCL,33,Saved,Right,Blue,Yellow,no,Goal,no,1,3,2,0,0,0,2,3,1,12,0,1,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3
22,6,AgÃ_ero,3,R,no,central,Shootout,WM,187,no,Goal,7,4,Semi-Final,Saved,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4,1,1,1,1,1,1,normal,no,5,normal,yes,Right,National Team,WM,null,Goal,Right,Blue-White,Green,no,Goal,no,1,0,2,1,0,0,2,4,0,6,0,2,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
23,6,AgÃ_ero,3,R,no,central,Ingame,UCL,187,no,Goal,7,4,Group,null,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,6,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,UCL,4,Goal,Right,Blue,Grey,no,Goal,no,1,0,2,0,0,0,2,4,1,6,0,2,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
24,6,AgÃ_ero,3,R,rechts geneigt,central,Ingame,League,188,no,Goal,9,6,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,20,Goal,Left,Blue,Purple,yes,Goal,yes,1,3,2,0,1,0,2,6,0,7,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,6,AgÃ_ero,3,R,rechts geneigt,central,Ingame,League,188,no,Goal,7,4,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,5,1,1,1,1,1,1,normal,yes,3,normal,no,Right,Club,League,33,Goal,Left,Blue,Purple,yes,Saved,yes,1,3,2,0,1,0,2,4,0,7,0,1,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26,6,AgÃ_ero,3,R,step left,central,Ingame,League,188,no,Saved,8,5,null,null,ST,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,68,Goal,Right,Blue,Purple,yes,Goal,yes,1,1,2,0,1,0,1,5,0,7,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
27,6,AgÃ_ero,3,R,jumping on spot,central,Ingame,UCL,193,no,Goal,7,4,Group,null,ST,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,yes,Right,Club,UCL,22,Saved,Right,Blue,Green,yes,Goal,yes,1,2,2,0,0,0,2,4,1,12,0,1,0,2,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3
28,6,AgÃ_ero,3,R,step left,slightly left,Ingame,League,199,no,Goal,6,6,null,null,ST,moving,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,6,1,1,1,1,1,1,normal,no,3,important,no,Right,Club,League,70,Goal,Right,Blue,Green,no,Goal,no,1,1,1,0,1,0,2,6,0,16,0,1,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
29,6,AgÃ_ero,3,R,no,central,Ingame,League,193,no,Goal,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,2,Goal,Right,Blue,Red,yes,Goal,yes,1,0,2,0,1,0,2,6,0,12,0,2,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
30,6,AgÃ_ero,3,R,no,central,Ingame,UCL,187,no,Goal,9,6,last sixteen,null,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4,1,1,1,1,1,1,normal,yes,4,normal,yes,Center,Club,UCL,78,Goal,Right,Blue,Grey,yes,Saved,yes,1,0,2,0,0,0,2,6,0,6,0,2,0,2,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
31,6,AgÃ_ero,3,R,no,central,Ingame,League,191,no,Saved,4,4,null,null,ST,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,4,1,1,1,1,1,1,strong,no,2,normal,no,Left,Club,League,64,Goal,Center,Blue,Purple,no,Goal,no,1,0,2,0,1,0,1,4,0,10,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
32,6,AgÃ_ero,3,R,no,central,Ingame,Friendly,182,no,Goal,4,4,null,null,ST,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,6,1,1,1,1,1,1,normal,no,1,important,no,Right,National Team,Friendly,29,Saved,Left,Blue-White,Grey,no,Goal,no,1,0,2,0,0,0,2,4,0,1,0,2,0,2,0,2,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
33,6,AgÃ_ero,3,R,no,central,Ingame,Cup,188,no,Goal,9,6,3,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,6,1,1,1,1,1,1,normal,no,2,important,no,Right,Club,Cup,9,Goal,Right,Green,Black,no,Goal,no,1,0,2,0,0,0,2,6,0,7,0,2,0,2,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1
34,6,AgÃ_ero,3,R,no,central,Ingame,UCL,183,yes,Goal,6,6,Group,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,UCL,90,Goal,Right,Green,Grey,no,Goal,no,1,0,2,0,0,1,2,6,1,2,0,2,0,2,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
35,6,AgÃ_ero,3,R,no,central,Ingame,League,190,no,Goal,9,6,null,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,9,Goal,Left,Blue,Green,no,Goal,no,1,0,2,0,1,0,2,6,0,9,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
36,6,AgÃ_ero,3,R,no,central,Shootout,Cup,193,no,Goal,7,4,Final,Saved,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,4,normal,yes,Right,Club,Cup,null,Goal,Left,Blue,Black,no,Goal,no,1,0,2,1,0,0,2,4,0,12,0,2,2,2,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
37,6,AgÃ_ero,3,R,no,central,Ingame,League,193,no,Goal,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,73,Goal,Right,Blue,Black,no,Missed,no,1,0,2,0,1,0,2,6,0,12,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
38,6,AgÃ_ero,3,R,no,central,Ingame,League,193,no,Missed,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,19,Goal,Right,Blue,Green,no,Goal,no,1,0,2,0,1,0,1,6,0,12,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
39,6,AgÃ_ero,3,R,jumping on spot,central,Ingame,UCL,189,no,Goal,9,6,Quarter-Final,null,ST,moving,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,6,1,1,1,1,1,1,normal,no,4,normal,yes,Right,Club,UCL,30,Missed,Right,Blue,Green,no,Missed,no,1,2,2,0,0,0,2,6,0,8,0,1,0,2,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
40,6,AgÃ_ero,3,R,no,central,Ingame,League,199,no,Missed,9,6,null,null,ST,still,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,4,1,1,1,1,1,1,normal,no,3,normal,yes,Right,Club,League,80,Goal,Right,Green,Blue,no,Goal,no,1,0,2,0,1,0,1,6,0,16,0,2,0,2,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1
41,6,AgÃ_ero,3,R,step right,central,Ingame,League,185,no,Goal,7,4,null,null,ST,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,43,Missed,Right,Blue,Orange,no,Goal,no,1,3,2,0,1,0,2,4,0,4,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
42,6,AgÃ_ero,3,R,no,central,Ingame,League,188,no,Goal,4,1,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,4,Goal,Right,Blue,Black,no,Goal,no,1,0,2,0,1,0,2,1,0,7,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
43,6,AgÃ_ero,3,R,jumping left and right,central,Ingame,UCL-Quali,184,no,Goal,4,4,4,null,ST,moving,0.061001799,0.107575758,0.03115312,0.159040073,0.228548354,0.173968701,4,1,1,1,1,1,1,normal,yes,3,normal,no,Left,Club,UCL-Quali,8,Goal,Left,Black,Green,no,Saved,no,1,4,2,0,0,0,2,4,0,3,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
44,6,AgÃ_ero,3,R,jumping on spot,central,Ingame,UCL-Quali,184,no,Saved,7,4,4,null,ST,moving,0.061001799,0.107575758,0.03115312,0.159040073,0.228548354,0.173968701,2,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,UCL-Quali,21,Goal,Left,Black,Green,no,Missed,no,1,2,2,0,0,0,1,4,0,3,0,1,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
45,6,AgÃ_ero,3,R,jumping on spot,central,Ingame,League,185,no,Missed,2,2,null,null,ST,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,27,Saved,Left,Red,Blue,no,Goal,no,1,2,2,0,1,0,1,2,0,4,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3
46,6,AgÃ_ero,3,R,no,central,Ingame,UCL,183,no,Goal,1,1,Group,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,UCL,28,Missed,Left,Blue,Grey,no,Goal,no,1,0,2,0,0,0,2,1,1,2,0,2,0,2,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
47,6,AgÃ_ero,3,R,rechts geneigt,central,Ingame,League,190,no,Goal,9,6,null,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,2,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,65,Goal,Right,Red,Blue,no,Goal,no,1,3,2,0,1,0,2,6,0,9,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
48,6,AgÃ_ero,3,R,no,central,Ingame,League,197,no,Goal,2,2,null,null,ST,still,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,6,1,1,1,1,1,1,normal,yes,3,normal,no,Right,Club,League,70,Goal,Left,Blue,Green,no,Saved,no,1,0,2,0,1,0,2,2,0,16,0,2,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
49,6,AgÃ_ero,3,R,no,central,Ingame,Cup,198,no,Saved,6,6,last sixteen,null,ST,still,0.070053523,0.112878788,0.035775761,0.182639162,0.262461397,0.199782967,1,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,Cup,35,Goal,Right,Blue,Pink,no,Goal,no,1,0,2,0,0,0,1,6,0,16,0,2,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
50,6,AgÃ_ero,3,R,no,central,Ingame,League,193,no,Goal,1,1,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,1,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,69,Saved,Right,Red,Green,no,Goal,no,1,0,2,0,1,0,2,1,0,12,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3
51,6,AgÃ_ero,3,R,links geneigt,central,Ingame,UCL,190,no,Goal,4,1,Group,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4,1,1,1,1,1,1,normal,yes,3,normal,no,Right,Club,UCL,72,Goal,Right,Blue,Black,no,Saved,no,1,1,2,0,0,0,2,1,1,9,0,1,0,2,1,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
52,6,AgÃ_ero,3,R,no,slightly right,Ingame,League,198,no,Saved,4,4,null,null,ST,still,0.070053523,0.112878788,0.035775761,0.182639162,0.262461397,0.199782967,6,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,League,30,Goal,Right,Blue,Orange,no,Goal,no,1,0,3,0,1,0,1,4,0,16,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
53,6,AgÃ_ero,3,R,jumping on spot,central,Shootout,Cup,190,yes,Goal,9,6,last sixteen,Saved,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,3,1,1,1,1,1,1,weak,no,3,important,no,Left,Club,Cup,null,Saved,Left,Blue,Black,no,Goal,no,1,2,2,1,0,1,2,6,0,9,0,1,2,3,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
54,6,AgÃ_ero,3,R,no,central,Ingame,League,196,no,Goal,3,3,null,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,6,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,50,Goal,Left,Blue,Red,yes,Goal,yes,1,0,2,0,1,0,2,3,0,15,0,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55,6,AgÃ_ero,3,R,step left,central,Ingame,League,195,no,Goal,9,6,null,null,ST,moving,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,6,1,1,1,1,1,1,weak,no,3,normal,no,Left,Club,League,47,Goal,Left,Blue,Orange,no,Goal,no,1,1,2,0,1,0,2,6,0,14,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
56,6,AgÃ_ero,3,R,jumping left and right,central,Ingame,UCL,190,no,Goal,9,6,Group,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,3,1,1,1,1,1,1,strong,no,2,normal,no,Left,Club,UCL,90,Goal,Left,Blue,Green,no,Goal,no,1,4,2,0,0,0,2,6,1,9,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
