ID;ppos;def;mf;st;foot;Age;RepGK;HeiGK;ClubNT;tpos;tup0;tup;tmid0;tmid;tbot0;tbot;otpos;oup0;oup;omid0;omi;obot0;obot;fav;favU;favF;loc;locH;locN;locA;rno;rno1;rno2;rnoGroup;rnoLS;rnoQF;rnoSF;rnoF;rko;comp;comLea;comCup;comECC;comQuali;comNTC;comFrie;SpecM;Imp;Importantness Game;IngSo;iLdbb;bb3;bb2o;bb2;bb1;d0;il1;il2;Min;Minf30;Minf3;Mins30;Mins3;Mint30;Mint3;Min900;Min90;Dec;GKSo;GKS;moveGK;notmovingGK;nmovGK;cjGrey;cjBlack;cjBlue;cjGreen;cjYellow;cjOrange;cjRed;la1;la2;la3;la4;la5;la6;lpbg;lGKd;tlpmon;Stlsbg;SlGKd;Solsbg;SR1;SRGK1;SR2;SRGK2;SR3;SRGK3;SR4;SRGK4;SR5;SRGK5;SR6;SRGK6;MP1;MPGK1;MP2;MPGK2;MP3;MPGK3;MP4;MPGK4;MP5;MP6;MPGK6;perc1;perc2;perc3;perc4;perc5;perc6;av_1;av_2;av_3;av_4;av_5;av_6;move;still;Choice
6;3;0;0;1;1;5;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;3;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;3;0;1;1;2;0;1;0;1;0;3;2;3;0;1;0;0;0;0;1;0;0;1;1;2;1;1;1;2;3;1;0;0;0;0,064655172;0,066820586;0,037878788;0,039147414;0,033018868;0,034124727;0,16856492;0,174210451;0,242236025;0,250348928;0,184387618;0,190563077;0,120689655;0,12473176;0,159090909;0,164419138;0,155660377;0,160873712;0,039863326;0,041198417;0;0,022880215;0,023646513;0,066666667;0;0,133333333;0,2;0,133333333;0,466666667;1;1;1;1;1;1;1;0;4
6;3;0;0;1;1;6;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;2;0;1;0;6;0;0;0;0;0;1;0;1;6;0;0;0;0;1;0;1;3;5;1;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;1;2;1;1;2;3;7;2;1;1;0,064655172;0,062941275;0,037878788;0,036874687;0,033018868;0,032143595;0,16856492;0,164096555;0,242236025;0,235814766;0,184387618;0,17949982;0,120689655;0,117490381;0,159090909;0,154873684;0,155660377;0,15153409;0,039863326;0,038806618;0;0,022880215;0,0222737;0,0625;0;0,125;0,25;0,125;0,4375;1;1;1;1;1;1;1;0;4
6;3;0;0;1;1;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;3;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;1;1;2;0;1;0;1;0;1;0;3;2;0;1;2;1;0;0;0;0;0;0;1;1;1;2;1;1;2;1;3;0;0;0;0,064655172;0,062941275;0,037878788;0,036874687;0,033018868;0,032143595;0,16856492;0,164096555;0,242236025;0,235814766;0,184387618;0,17949982;0,120689655;0,117490381;0,159090909;0,154873684;0,155660377;0,15153409;0,039863326;0,038806618;0;0,022880215;0,0222737;0,058823529;0;0,117647059;0,294117647;0,117647059;0,411764706;1;1;1;1;1;1;1;0;6
6;3;0;0;1;1;6;1;7;0;1;1;2;0;1;0;1;2;0;1;1;2;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;2;1;2;0;1;0;1;0;1;0;3;2;3;0;1;0;0;0;0;0;0;0;1;1;1;1;1;2;2;1;1;0;0;0;0,064655172;0,063587827;0,037878788;0,037253474;0,033018868;0,032473783;0,16856492;0,165782205;0,242236025;0,238237126;0,184387618;0,181343697;0,120689655;0,118697277;0,159090909;0,156464593;0,155660377;0,153090693;0,039863326;0,039205251;0;0,022880215;0,022502502;0,055555556;0;0,111111111;0,277777778;0,111111111;0,444444444;1;1;1;1;1;1;1;0;4
6;3;0;0;1;1;6;1;7;0;1;1;2;0;1;0;1;1;1;2;0;1;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;5;0;0;0;0;0;1;0;3;0;1;1;2;0;1;0;1;0;3;2;3;0;1;0;0;0;0;0;0;0;1;1;1;2;1;1;2;3;1;0;0;0;0,064655172;0,063587827;0,037878788;0,037253474;0,033018868;0,032473783;0,16856492;0,165782205;0,242236025;0,238237126;0,184387618;0,181343697;0,120689655;0,118697277;0,159090909;0,156464593;0,155660377;0,153090693;0,039863326;0,039205251;0;0,022880215;0,022502502;0,052631579;0;0,105263158;0,315789474;0,105263158;0,421052632;1;1;1;1;1;1;1;0;5
6;3;0;0;1;1;6;1;7;0;1;1;2;0;1;0;1;2;0;1;1;2;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;5;0;0;0;0;0;1;0;5;0;1;0;1;1;2;0;1;0;3;2;1;0;1;0;0;0;0;0;0;0;1;1;1;1;2;1;1;3;1;0;0;0;0,064655172;0,063587827;0,037878788;0,037253474;0,033018868;0,032473783;0,16856492;0,165782205;0,242236025;0,238237126;0,184387618;0,181343697;0,120689655;0,118697277;0,159090909;0,156464593;0,155660377;0,153090693;0,039863326;0,039205251;0;0,022880215;0,022502502;0,05;0;0,1;0,3;0,15;0,4;1;1;1;1;1;1;1;0;4
6;3;0;0;1;1;6;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;3;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;1;2;3;0;4;0;0;0;0;1;0;0;2;1;2;0;1;0;1;0;1;0;3;2;2;0;1;0;0;0;1;0;0;0;1;1;1;2;1;1;2;3;2;0;0;0;0,064655172;0,066820586;0,037878788;0,039147414;0,033018868;0,034124727;0,16856492;0,174210451;0,242236025;0,250348928;0,184387618;0,190563077;0,120689655;0,12473176;0,159090909;0,164419138;0,155660377;0,160873712;0,039863326;0,041198417;0;0,022880215;0,023646513;0,047619048;0;0,095238095;0,333333333;0,142857143;0,380952381;1;1;1;1;1;1;1;0;6
6;3;0;0;1;1;6;0;16;0;1;1;2;0;1;0;1;2;0;1;1;2;0;1;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;5;0;0;0;0;0;1;0;5;0;1;0;1;1;2;0;1;0;2;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;1;2;2;3;3;0;0;0;0,064655172;0,070699896;0,037878788;0,041420141;0,033018868;0,036105859;0,16856492;0,184324346;0,242236025;0,264883089;0,184387618;0,201626335;0,120689655;0,131973139;0,159090909;0,173964593;0,155660377;0,170213335;0,039863326;0,043590217;0;0,022880215;0,025019326;0,045454545;0;0,090909091;0,318181818;0,136363636;0,409090909;1;1;1;1;1;1;1;0;6
6;3;0;0;1;1;6;1;12;0;1;1;2;0;1;0;1;2;0;1;1;2;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;1;1;2;0;1;0;1;0;1;0;3;2;0;1;2;0;0;0;0;0;0;1;1;1;1;1;1;2;2;3;1;0;0;0;0,064655172;0,066820586;0,037878788;0,039147414;0,033018868;0,034124727;0,16856492;0,174210451;0,242236025;0,250348928;0,184387618;0,190563077;0,120689655;0,12473176;0,159090909;0,164419138;0,155660377;0,160873712;0,039863326;0,041198417;0;0,022880215;0,023646513;0,043478261;0;0,086956522;0,304347826;0,130434783;0,434782609;1;1;1;1;1;1;1;0;6
6;3;0;0;1;1;6;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;4;0;0;0;1;0;0;0;1;3;0;0;1;0;0;0;1;3;4;0;2;0;1;1;0;0;0;0;6;0;1;0;1;1;2;0;1;0;3;2;0;1;2;1;0;0;0;0;0;0;1;1;1;1;1;2;2;2;1;0;0;0;0,064655172;0,062941275;0,037878788;0,036874687;0,033018868;0,032143595;0,16856492;0,164096555;0,242236025;0,235814766;0,184387618;0,17949982;0,120689655;0,117490381;0,159090909;0,154873684;0,155660377;0,15153409;0,039863326;0,038806618;0;0,022880215;0,0222737;0,041666667;0;0,083333333;0,291666667;0,125;0,458333333;1;1;1;1;1;1;1;0;4
