"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_player_position_MF2",-1.013353387777,NA,NA,NA,NA
"b_player_position_MF3",-0.483970239937794,NA,NA,NA,NA
"b_player_position_MF4",-0.261397715066855,NA,NA,NA,NA
"b_player_position_MF5",0.459379614528065,NA,NA,NA,NA
"b_player_position_MF6",-0.153613553785607,NA,NA,NA,NA
"b_player_position_ST2",-0.929115722389394,NA,NA,NA,NA
"b_player_position_ST3",-0.115224522739089,NA,NA,NA,NA
"b_player_position_ST4",0.00330208323846079,NA,NA,NA,NA
"b_player_position_ST5",0.358968294690551,NA,NA,NA,NA
"b_player_position_ST6",-0.0196925880712774,NA,NA,NA,NA
"b_foot_R2",0.378284299370753,NA,NA,NA,NA
"b_foot_R3",-1.00354435087003,NA,NA,NA,NA
"b_foot_R4",-0.0472811730281284,NA,NA,NA,NA
"b_foot_R5",-0.485590938633459,NA,NA,NA,NA
"b_foot_R6",-0.601637466771647,NA,NA,NA,NA
"b_greak_gk_yes2",0.299448960371848,NA,NA,NA,NA
"b_greak_gk_yes3",0.378290449133859,NA,NA,NA,NA
"b_greak_gk_yes4",0.375762316161824,NA,NA,NA,NA
"b_greak_gk_yes5",0.661268864141348,NA,NA,NA,NA
"b_greak_gk_yes6",0.546906651028958,NA,NA,NA,NA
"b_location_A2",-0.174594576469785,NA,NA,NA,NA
"b_location_A3",0.495289595751004,NA,NA,NA,NA
"b_location_A4",0.238472713656432,NA,NA,NA,NA
"b_location_A5",0.144584867920481,NA,NA,NA,NA
"b_location_A6",0.0740013931522862,NA,NA,NA,NA
"b_location_H2",-0.323969141441233,NA,NA,NA,NA
"b_location_H3",0.49476658911389,NA,NA,NA,NA
"b_location_H4",0.115290472748611,NA,NA,NA,NA
"b_location_H5",-0.281644925684697,NA,NA,NA,NA
"b_location_H6",-0.0853829338834215,NA,NA,NA,NA
"b_round_Final2",1.71790248274553,NA,NA,NA,NA
"b_round_Final3",2.12981084432848,NA,NA,NA,NA
"b_round_Final4",2.73782743934474,NA,NA,NA,NA
"b_round_Final5",-1.53343886290695,NA,NA,NA,NA
"b_round_Final6",1.05420449862497,NA,NA,NA,NA
"b_round_Group2",0.574908232082818,NA,NA,NA,NA
"b_round_Group3",1.18456286035451,NA,NA,NA,NA
"b_round_Group4",1.35130801772901,NA,NA,NA,NA
"b_round_Group5",-1.35785278220726,NA,NA,NA,NA
"b_round_Group6",-0.294887309147638,NA,NA,NA,NA
"b_round_KO2",0.0363724741406006,NA,NA,NA,NA
"b_round_KO3",-0.643052234930795,NA,NA,NA,NA
"b_round_KO4",3.40814174172047,NA,NA,NA,NA
"b_round_KO5",-0.173280433762525,NA,NA,NA,NA
"b_round_KO6",-1.88148586193889,NA,NA,NA,NA
"b_round_match_place_32",-2.52133129839814,NA,NA,NA,NA
"b_round_match_place_33",4.51158369642135,NA,NA,NA,NA
"b_round_match_place_34",3.64023243876861,NA,NA,NA,NA
"b_round_match_place_35",1.44629326507566,NA,NA,NA,NA
"b_round_match_place_36",-4.17648669413578,NA,NA,NA,NA
"b_round_Quarter-Final2",1.06514816689733,NA,NA,NA,NA
"b_round_Quarter-Final3",0.599807842005083,NA,NA,NA,NA
"b_round_Quarter-Final4",1.54282044853805,NA,NA,NA,NA
"b_round_Quarter-Final5",-1.84805496141462,NA,NA,NA,NA
"b_round_Quarter-Final6",0.157164740712681,NA,NA,NA,NA
"b_round_Semi-Final2",2.21158128395323,NA,NA,NA,NA
"b_round_Semi-Final3",2.49688841517317,NA,NA,NA,NA
"b_round_Semi-Final4",2.95484287005445,NA,NA,NA,NA
"b_round_Semi-Final5",-1.17886321004309,NA,NA,NA,NA
"b_round_Semi-Final6",0.762947204667094,NA,NA,NA,NA
"b_competition_grouped_Copa_America2",-2.6608800452534,NA,NA,NA,NA
"b_competition_grouped_Copa_America3",2.2609763606826,NA,NA,NA,NA
"b_competition_grouped_Copa_America4",-1.85553001168646,NA,NA,NA,NA
"b_competition_grouped_Copa_America5",0.400219002258714,NA,NA,NA,NA
"b_competition_grouped_Copa_America6",1.26921226285511,NA,NA,NA,NA
"b_competition_grouped_Cup2",0.489781475504507,NA,NA,NA,NA
"b_competition_grouped_Cup3",0.32317101682311,NA,NA,NA,NA
"b_competition_grouped_Cup4",-1.95944492962446,NA,NA,NA,NA
"b_competition_grouped_Cup5",0.417881779731487,NA,NA,NA,NA
"b_competition_grouped_Cup6",0.393755335166422,NA,NA,NA,NA
"b_competition_grouped_EL2",-0.903751402887893,NA,NA,NA,NA
"b_competition_grouped_EL3",0.872135441060524,NA,NA,NA,NA
"b_competition_grouped_EL4",-0.851823535481433,NA,NA,NA,NA
"b_competition_grouped_EL5",1.42694700895727,NA,NA,NA,NA
"b_competition_grouped_EL6",0.688608145051977,NA,NA,NA,NA
"b_competition_grouped_EM2",-0.113059666366683,NA,NA,NA,NA
"b_competition_grouped_EM3",0.789217746874423,NA,NA,NA,NA
"b_competition_grouped_EM4",-1.68142312742548,NA,NA,NA,NA
"b_competition_grouped_EM5",0.368039382568957,NA,NA,NA,NA
"b_competition_grouped_EM6",0.303591180535588,NA,NA,NA,NA
"b_competition_grouped_League2",1.81502932381409,NA,NA,NA,NA
"b_competition_grouped_League3",2.12209409253603,NA,NA,NA,NA
"b_competition_grouped_League4",0.338645316582261,NA,NA,NA,NA
"b_competition_grouped_League5",0.0152287303865069,NA,NA,NA,NA
"b_competition_grouped_League6",0.882859269931939,NA,NA,NA,NA
"b_competition_grouped_NL2",-3.17916365621223,NA,NA,NA,NA
"b_competition_grouped_NL3",0.814229497821444,NA,NA,NA,NA
"b_competition_grouped_NL4",-1.12789463031378,NA,NA,NA,NA
"b_competition_grouped_NL5",-2.25753658346519,NA,NA,NA,NA
"b_competition_grouped_NL6",0.557161843519954,NA,NA,NA,NA
"b_competition_grouped_Qualification2",0.845072682391954,NA,NA,NA,NA
"b_competition_grouped_Qualification3",1.62643449180531,NA,NA,NA,NA
"b_competition_grouped_Qualification4",-1.10283287682591,NA,NA,NA,NA
"b_competition_grouped_Qualification5",1.1779122614263,NA,NA,NA,NA
"b_competition_grouped_Qualification6",0.703514269927083,NA,NA,NA,NA
"b_competition_grouped_UCL2",1.42528105207355,NA,NA,NA,NA
"b_competition_grouped_UCL3",1.14662773946454,NA,NA,NA,NA
"b_competition_grouped_UCL4",-1.32283735868665,NA,NA,NA,NA
"b_competition_grouped_UCL5",1.77587529056444,NA,NA,NA,NA
"b_competition_grouped_UCL6",1.09330950529601,NA,NA,NA,NA
"b_competition_grouped_WM2",-0.113171528458772,NA,NA,NA,NA
"b_competition_grouped_WM3",1.00879955983805,NA,NA,NA,NA
"b_competition_grouped_WM4",-1.78905901851188,NA,NA,NA,NA
"b_competition_grouped_WM5",0.915859286858308,NA,NA,NA,NA
"b_competition_grouped_WM6",0.222849207152391,NA,NA,NA,NA
"b_competition_grouped_WMCUP2",0.167357288864069,NA,NA,NA,NA
"b_competition_grouped_WMCUP3",-0.315968776010043,NA,NA,NA,NA
"b_competition_grouped_WMCUP4",3.44207711179213,NA,NA,NA,NA
"b_competition_grouped_WMCUP5",0.0609631596903207,NA,NA,NA,NA
"b_competition_grouped_WMCUP6",-1.63136811443456,NA,NA,NA,NA
"b_Importantness_Game_22",0.461968822749896,NA,NA,NA,NA
"b_Importantness_Game_23",2.89365772990453,NA,NA,NA,NA
"b_Importantness_Game_24",0.578748101447765,NA,NA,NA,NA
"b_Importantness_Game_25",1.52729690455301,NA,NA,NA,NA
"b_Importantness_Game_26",0.843715851047052,NA,NA,NA,NA
"b_Importantness_Game_32",-0.833142692399446,NA,NA,NA,NA
