"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_player_position_MF2",-1.03188627523983,NA,NA,NA,NA
"b_player_position_MF3",-0.51933963711713,NA,NA,NA,NA
"b_player_position_MF4",-0.286136150755674,NA,NA,NA,NA
"b_player_position_MF5",0.437979658034313,NA,NA,NA,NA
"b_player_position_MF6",-0.170816039567627,NA,NA,NA,NA
"b_player_position_ST2",-0.94086216044937,NA,NA,NA,NA
"b_player_position_ST3",-0.145734614053186,NA,NA,NA,NA
"b_player_position_ST4",-0.00500528535921564,NA,NA,NA,NA
"b_player_position_ST5",0.312949660399149,NA,NA,NA,NA
"b_player_position_ST6",-0.0341212945116953,NA,NA,NA,NA
"b_foot_R2",0.395012471812717,NA,NA,NA,NA
"b_foot_R3",-0.996830196117065,NA,NA,NA,NA
"b_foot_R4",-0.0600181776469389,NA,NA,NA,NA
"b_foot_R5",-0.472314446894361,NA,NA,NA,NA
"b_foot_R6",-0.601374945749719,NA,NA,NA,NA
"b_greak_gk_yes2",0.302967019160895,NA,NA,NA,NA
"b_greak_gk_yes3",0.36847589874115,NA,NA,NA,NA
"b_greak_gk_yes4",0.38426328100623,NA,NA,NA,NA
"b_greak_gk_yes5",0.658386111087364,NA,NA,NA,NA
"b_greak_gk_yes6",0.544645296932549,NA,NA,NA,NA
"b_location_A2",-0.188301460525175,NA,NA,NA,NA
"b_location_A3",0.505265048127074,NA,NA,NA,NA
"b_location_A4",0.20030517128623,NA,NA,NA,NA
"b_location_A5",0.127339625573277,NA,NA,NA,NA
"b_location_A6",0.0664186326613568,NA,NA,NA,NA
"b_location_H2",-0.363597585705852,NA,NA,NA,NA
"b_location_H3",0.486520222452409,NA,NA,NA,NA
"b_location_H4",0.0907861397684058,NA,NA,NA,NA
"b_location_H5",-0.301295195730043,NA,NA,NA,NA
"b_location_H6",-0.0906583763342773,NA,NA,NA,NA
"b_round_Final2",1.77884924269927,NA,NA,NA,NA
"b_round_Final3",2.12547017040878,NA,NA,NA,NA
"b_round_Final4",2.68224273129087,NA,NA,NA,NA
"b_round_Final5",-1.69112136991472,NA,NA,NA,NA
"b_round_Final6",1.01645430216353,NA,NA,NA,NA
"b_round_Group2",0.633741835842168,NA,NA,NA,NA
"b_round_Group3",1.11926963050997,NA,NA,NA,NA
"b_round_Group4",1.32567559691142,NA,NA,NA,NA
"b_round_Group5",-1.51234729634842,NA,NA,NA,NA
"b_round_Group6",-0.376072889951123,NA,NA,NA,NA
"b_round_KO2",0.0605226382538291,NA,NA,NA,NA
"b_round_KO3",-0.656604606659219,NA,NA,NA,NA
"b_round_KO4",3.44655446133634,NA,NA,NA,NA
"b_round_KO5",-0.161368530995502,NA,NA,NA,NA
"b_round_KO6",-1.96143235056078,NA,NA,NA,NA
"b_round_match_place_32",-2.53967731277749,NA,NA,NA,NA
"b_round_match_place_33",4.53103889413741,NA,NA,NA,NA
"b_round_match_place_34",3.71137613730127,NA,NA,NA,NA
"b_round_match_place_35",1.39181384322977,NA,NA,NA,NA
"b_round_match_place_36",-4.22017554369945,NA,NA,NA,NA
"b_round_Quarter-Final2",1.13080654315956,NA,NA,NA,NA
"b_round_Quarter-Final3",0.554056196696696,NA,NA,NA,NA
"b_round_Quarter-Final4",1.51813637510268,NA,NA,NA,NA
"b_round_Quarter-Final5",-1.99163852581219,NA,NA,NA,NA
"b_round_Quarter-Final6",0.0898586280660776,NA,NA,NA,NA
"b_round_Semi-Final2",2.2408544559378,NA,NA,NA,NA
"b_round_Semi-Final3",2.46187724575482,NA,NA,NA,NA
"b_round_Semi-Final4",2.91457606290754,NA,NA,NA,NA
"b_round_Semi-Final5",-1.34091563113264,NA,NA,NA,NA
"b_round_Semi-Final6",0.693393470466511,NA,NA,NA,NA
"b_competition_grouped_Copa_America2",-2.69451323391431,NA,NA,NA,NA
"b_competition_grouped_Copa_America3",2.24821257565854,NA,NA,NA,NA
"b_competition_grouped_Copa_America4",-1.86817329177786,NA,NA,NA,NA
"b_competition_grouped_Copa_America5",0.417734848573025,NA,NA,NA,NA
"b_competition_grouped_Copa_America6",1.27648349437451,NA,NA,NA,NA
"b_competition_grouped_Cup2",0.463517049608797,NA,NA,NA,NA
"b_competition_grouped_Cup3",0.291283285251511,NA,NA,NA,NA
"b_competition_grouped_Cup4",-1.98441704072268,NA,NA,NA,NA
"b_competition_grouped_Cup5",0.452454839722095,NA,NA,NA,NA
"b_competition_grouped_Cup6",0.398193879690505,NA,NA,NA,NA
"b_competition_grouped_EL2",-0.97069560629556,NA,NA,NA,NA
"b_competition_grouped_EL3",0.864975711522401,NA,NA,NA,NA
"b_competition_grouped_EL4",-0.862805865711907,NA,NA,NA,NA
"b_competition_grouped_EL5",1.45995634064577,NA,NA,NA,NA
