"asc_TL","asc_TC","asc_TR","asc_DL","asc_DC","asc_DR","b_foot1","b_foot2","b_foot3","b_moveGK1","b_moveGK2","b_moveGK3","b_moveGK4","b_moveGK5","b_moveGK6","b_GKS1","b_GKS2","b_GKS3","b_GKS4","b_GKS5","b_GKS6","b_IS1","b_IS2","b_IS3","b_IS4","b_IS5","b_IS6","b_comL1","b_comL2","b_comL3","b_comL4","b_comL5","b_comL6","b_HGK1","b_HGK2","b_HGK3","b_HGK4","b_HGK5","b_HGK6","b_dec1","b_dec2","b_dec3","b_dec4","b_dec5","b_dec6","b_lp1","b_lp2","b_lp3","b_lp4","b_lp5","b_lp6","b_latr1","b_latr2","b_latr3","b_latr4","b_latr5","b_latr6","b_ladr1","b_ladr2","b_ladr3","b_ladr4","b_ladr5","b_ladr6","b_sr1","b_sr3","b_perc","b_rnog1","b_rnog2","b_rnog3","b_rnog4","b_rnog5","b_rnog6","b_solsbg1","b_solsbg2","b_solsbg3","b_solsbg4","b_solsbg5","b_solsbg6","b_nmovGK1","b_nmovGK2","b_nmovGK3","b_nmovGK4","b_nmovGK5","b_nmovGK6","b_def1","b_def2","b_def3","b_def4","b_def5","b_def6","lambda_L","lambda_C","lambda_R","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.95,0.95,-4224.96882843975
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.95,0.95,-4224.96882843975
-0.00227840001462028,-0.00335056841140613,-0.00249566315906122,0.00642559999832884,0,0.00465886315796525,0.00386559999315068,0,0.00072959999088198,-0.00184567017713562,-0.00220777543727309,-0.00190865964395925,0.00533580351620913,0,0.00267239297972992,-0.00442554387263954,-0.00668508069356904,-0.00504432281013578,0.0130228772060946,0,0.00899525615386665,-0.000166961399372667,-0.000842329824808985,-0.000297656131442636,0.00122082807356492,0,0.000685922813136131,-0.00155991578940302,-0.00162795789074153,-0.00155486316652969,0.00349271579179913,0,0.00278366316342726,-0.0205038035172038,-0.0308047719299793,-0.0241373192984611,0.0568216701736674,0,0.0464647859684192,-4.78315865620971e-05,-0.000309894734527916,-5.99578954279423e-05,0.000329431588761509,0,0.000290357903577387,-0.00370414037024602,-0.00496931929374114,-0.00403222456807271,0.00963480703067035,0,0.00758209123741836,-0.00224247018340975,-0.00287910174811259,-0.00220811228500679,0.00570700351381675,0,0.00436704561579973,-0.0027753543923609,-0.00351640700828284,-0.00303876490797848,0.00728948772884906,0,0.00527449825312943,-0.000147625070530921,-8.3073356654495e-05,0.0029507824103348,-0.000350989471189678,-0.000528505258262158,-0.000238821050152183,0.000888589466921986,0,0.000610021059401334,-4.82807052321732e-05,-0.00126192279858515,-0.0004413754446432,0.00154161403188482,0,0.00100030878093094,-0.00357546667801216,-0.00557159297168255,-0.00398304561385885,0.0105045333388262,0,0.00745611229212955,-0.000205136835575104,-0.000246568419970572,-0.000147873687092215,0.000576336844824255,0,0.000391073687933386,0.95287461996777,0.945625964016654,0.951499415980652,-3773.62523662632
-0.000763047121140554,-0.00587651132291802,-0.00137706936074203,0.0120430720203521,0,0.0094367734903799,0.0129276893341238,0,0.000577838399632175,-0.00249965467466913,-0.00384648639897631,-0.00254657397045581,0.0145160550094959,0,0.00385030224828415,-0.000758832857909279,-0.0117232770572594,-0.00316885039408219,0.0252219917254574,0,0.0170290235978961,0.00176313340453303,-0.00203129665229259,0.00111190893651685,0.00170047109120173,0,0.000161677016974157,-0.00283729324634311,-0.00253840964002617,-0.00243010319284263,0.00750320345249169,0,0.0073180715897919,0.0166002522022048,-0.0322318081822449,0.00208776638189516,0.0519250141812016,0,0.0789657439363236,0.000561688662582295,-0.000943594086750551,0.000541105845842618,0.000244091099957225,0,0.00052920078768152,-0.00359075079462781,-0.00932783976888642,-0.00455268642330002,0.0194881181785651,0,0.0188074906106682,-0.00238352411847123,-0.00508709345147824,-0.00155419054932842,0.0114633526692766,0,0.0103224206844703,-0.00305957837445588,-0.00616852425027185,-0.00397174947946563,0.0158254150179215,0,0.0122188940420708,-4.22029412953105e-05,-4.48199078056137e-05,0.00776058074111692,-0.000235169521263656,-0.00111649855422191,0.00055490499883517,0.00147166242300359,0,0.000966023083618433,0.00362810623545631,-0.00329763778786394,0.00145081423026271,0.00129006412481857,0,0.000409965365708185,-4.19960219840594e-05,-0.00985984071715876,-0.00135721415666841,0.0190738176024392,0,0.014019284286518,2.2706303375875e-05,-7.06491925237827e-05,0.000455279842670056,0.000879125464638532,0,0.00052260059547353,0.950570417141081,0.93762395213157,0.948322172016134,-3747.70867550502
0.000538134489096031,-0.00983882162398945,0.00120936407837281,0.0316551959488305,0,0.0154120607227473,0.0386566905997403,0,-0.00543077704385575,-0.00609561994541384,-0.00636395748035884,-0.00455162711942902,0.0421169907074624,0,0.00253916597748807,0.00359513214475878,-0.0196174244253363,0.00103336007472269,0.0670020967386336,0,0.0248912139547738,0.00631777040453256,-0.00464103993619669,0.00479389118408707,0.00397892369336923,0,-0.00266234124337373,-0.00765603502826328,-0.00353209986192479,-0.00498857368160737,0.020535345227403,0,0.0160064650288486,0.0873625392878251,-0.00770273551909769,0.0682239506701195,0.0918543226801905,0,0.0893099816632381,0.00201800598503687,-0.00247655989199181,0.00213470336788392,0.000308113430445164,0,0.000734384134474931,-0.00709976387543603,-0.0169400519675395,-0.00646228775075821,0.0522746115793405,0,0.0389716280684078,-0.00504187046070625,-0.00857703583985731,-8.2542667917819e-05,0.0307031456204049,0,0.0203613412809191,-0.00660706970665126,-0.0103033415776977,-0.00686505535253499,0.0434107564564666,0,0.0235558602073154,6.0278541915899e-05,4.39308384300272e-05,0.0203593938510866,-0.000325210367763209,-0.00230073608063608,0.00264485580321,0.00370089939672013,0,0.000909268941725241,0.0126275678884126,-0.00794133758926805,0.00637684771276807,0.00197682156667443,0,-0.00315639281614964,0.00487827558690112,-0.0167145881919329,0.00501908374225639,0.0496474486070872,0,0.0201949064645336,0.000346712070166163,0.000693012270989058,0.00203444307491565,0.00214010302303888,0,0.000217049690435316,0.943790023189608,0.920070339742513,0.935804981521791,-3730.28214024053
-0.00320722983326984,-0.00987128915445032,0.00139865375084811,0.0479674844903727,0,0.0229192141322528,0.058145324426917,0,-0.0122463962065461,-0.0129269410561357,-0.00624175096988512,-0.00810004415459598,0.06731775832347,0,0.00226875266626205,-0.00202420317871444,-0.0196519672528938,0.000475146693664993,0.102121939151784,0,0.0357293577390616,0.00965381891036784,-0.0064593610185659,0.00790078202457494,0.00574280377660633,0,-0.00511636134943611,-0.0149339114199477,-0.00248887199653787,-0.00872080613016556,0.0317134986185711,0,0.0254681900880368,0.102839574449032,0.0557965660371031,0.107810253372622,0.102364783020402,0,0.117258157433267,0.00313473233635461,-0.00378653455913772,0.00357730205286534,0.000173699083560176,0,0.00106008164984043,-0.0172687203237332,-0.0188148831931163,-0.0115026726909929,0.0794588983751094,0,0.0612198070167275,-0.0116996257805857,-0.0086398555245109,-0.000438448463913789,0.0466730327936488,0,0.031601767502078,-0.01501830429448,-0.0102421066516757,-0.0120607725975246,0.0670150279477315,0,0.0363282182079342,-0.000167602746832918,5.23691599820517e-05,0.0322121920536068,-0.0011537990086421,-0.00294280951563209,0.00442676709846688,0.00545029194489632,0,0.00105989451819865,0.0199372338721697,-0.0114729674868307,0.0104655983077807,0.00186961852738801,0,-0.00616850148537848,0.00143665361780616,-0.0170823214291839,0.00744485650366481,0.0748979576444032,0,0.0287625071189584,0.000126383162439637,0.00187109404967846,0.00336587678509562,0.00313076609107934,0,7.08792980413181e-05,0.929332313215928,0.908648219472438,0.921440826706271,-3683.8126204141
-0.00449445097859259,-0.0114467045444395,-0.00244324622986202,0.0583265636049666,0,0.0273931229552196,0.0731045143082387,0,-0.0221084957493903,-0.0170826825986528,-0.00707980667074574,-0.0133827445849169,0.0849464708885941,0,0.00130318598153221,-0.00292841136918569,-0.0226907843995146,-0.00786982243537662,0.124612813104154,0,0.0412157273829287,0.0124535955198605,-0.00843683961052789,0.00930518959309701,0.00699764951024195,0,-0.00721377615585683,-0.0197335253649002,-0.00227795226438293,-0.0135327811218368,0.0388830614800367,0,0.0321590079260551,0.129566163236582,0.0883631352857827,0.0913385632233229,0.0994519692898351,0,0.122226649506061,0.0041288312353225,-0.00500564973792395,0.00445838298923958,-6.53931257885716e-05,0,0.0012753935459717,-0.0218607044818455,-0.0219709642450901,-0.0203073325546383,0.0953659727610648,0,0.076278388002252,-0.014997191418153,-0.00965603936973823,-0.00352004819172029,0.0561267803236511,0,0.03889481391312,-0.0192091057432723,-0.0113560087008567,-0.0197358024504801,0.0818336239937278,0,0.0443956518071595,-0.000240596659829582,-7.55322911804778e-05,0.0404870376734472,-0.00158309669200395,-0.00371669649579513,0.00533781099993963,0.00646716070812049,0,0.000923213006306976,0.0260477898487035,-0.0150673814476717,0.0121537870181987,0.00142232640408258,0,-0.00868832398050187,0.00151371441360179,-0.0199495792061739,0.00276578669892729,0.0910155866955676,0,0.0327198398334286,2.8710741709329e-05,0.00267112873852315,0.00398648159076438,0.00378906399197735,0,-0.000149976634817002,0.915149966874972,0.905682437486713,0.90524034379115,-3678.68058761587
-0.0174725446928819,-0.0298049050878689,-0.0095646101931581,0.0885956268749036,0,0.0410206601376838,0.118540655186571,0,-0.0589345516611572,-0.0375133898842906,-0.0179754879773176,-0.0286619448617609,0.144379992071606,0,-0.00401602876683876,-0.0213901408516749,-0.0585142374675217,-0.0246478123414259,0.191213845016262,0,0.0542980034228208,0.0204291255029115,-0.0197027102532037,0.0161622689204881,0.0114213433535747,0,-0.0155791205236224,-0.0416264481761862,-0.00684683130648035,-0.0281760384891403,0.0601238896488273,0,0.0561351527522013,0.127289084125568,0.0802076213112281,0.0929947318422924,0.0455678472659885,0,0.0950689020209146,0.00742531879215416,-0.0109187047336967,0.00853313270292421,-0.00153269152721281,0,0.00207277325212429,-0.0455175733555611,-0.0491680085619434,-0.0411095601204988,0.134696546871712,0,0.127678444275344,-0.0316908294090447,-0.0223753044108108,-0.0070787945633638,0.0801119118815656,0,0.0625586818733826,-0.0399665268560359,-0.0262897066392582,-0.0401623024285849,0.124073431866919,0,0.0697762028291539,-0.00105666759004673,-0.000317998951114108,0.0689439052293685,-0.00449895562185974,-0.00868661003591751,0.0104112559794369,0.00895826649503119,0,-0.00036270267892717,0.0461240555953993,-0.0342642731846144,0.0205123559958845,-0.00170875462303807,0,-0.01842981375861,-0.0114387122196904,-0.0513999457109171,-0.00223828508396503,0.138630711879066,0,0.040123712347707,-0.00158932017852956,0.00465106688529871,0.00717466198971518,0.00587297194404988,0,-0.00125765682907887,0.839189927770788,0.916349866584283,0.839431581983871,-3627.66448997616
-0.0104829942124818,-0.0628986433914126,0.000384110433427653,0.0996765835266832,0,0.0919142322926995,0.230675139416412,0,-0.144954655424496,-0.0430282535333923,-0.0306413141567188,-0.0481874091623756,0.20998096474916,0,0.00768902357647028,0.0291941079389544,-0.117572851100112,-0.0102282050288432,0.214734054606902,0,0.106895024190492,0.0318439487101447,-0.0555238240526214,0.0342384548366254,0.0309746680149338,0,-0.0212961840424626,-0.0667111958833345,-0.00302954356362008,-0.0487563625036441,0.0623114971486147,0,0.120671366069847,0.101474809150481,0.117304364266469,0.09773019983846,0.0640715890951168,0,0.0758533300443131,0.0186106573464909,-0.0305526748467563,0.0228034588470114,-0.00924872100372368,0,0.00908588279243587,0.0431733940667715,-0.0780952346087302,-0.0143244283988506,0.0274425730723474,0,0.243035227685327,0.00681504448426144,-0.0287457529121265,0.0394152898916893,0.027117955743252,0,0.105815015836139,0.00950791201905974,-0.0303219884966507,-0.0403368744594659,0.0983976530884387,0,0.1104370329889,-0.000759892632649911,-9.582904227365e-05,0.121549382622839,-0.00789777029940013,-0.0225627330643519,0.0344105675781415,0.00489952091128785,0,-0.00487162890678567,0.094048811530786,-0.0947285939494337,0.0387904284712629,-0.0115082273374809,0,-0.0145687464785937,0.0197682982321209,-0.110014015501205,0.0363325247434104,0.17662681648991,0,0.0560580103420962,-0.00876513801415275,0.0137725869684102,0.0178239779720138,0.0116208694722925,0,9.58134422820826e-05,0.655760676728736,0.896160755031464,0.650832271892574,-3584.42294841167
-0.0090151974795765,-0.0705895688817524,0.00833598204696251,0.104362203942914,0,0.100745965296132,0.264529023678107,0,-0.173531275690616,-0.0344639879283933,-0.0316168554698033,-0.0488675398951385,0.215161907669546,0,0.00820914480655971,0.0470447462220743,-0.129494638577437,0.00402962076584872,0.221782528448107,0,0.106589987441479,0.036227775277166,-0.0665720722599016,0.0384283214190608,0.0319186450535189,0,-0.0171491098828931,-0.0768649484084207,7.0132631226977e-05,-0.0503706397697908,0.0697162296287334,0,0.129959544235056,0.0952071575813446,0.124430119067982,0.0895184413957407,0.0633850035936022,0,0.0841912497308516,0.0230877720339076,-0.0371697036337289,0.0276070841734447,-0.0134147404001233,0,0.0123635627233633,0.0639088574068499,-0.0815034520677058,0.0118652972112972,0.0166985514520962,0,0.241856909830564,0.014187761326478,-0.027018318540124,0.0662380416667142,0.0240504761187455,0,0.096349371780209,0.0190516245793175,-0.0268528512312186,-0.0288169357233526,0.109273356768872,0,0.094926074411078,-0.000722438245225125,0.000115755470333265,0.136962447797066,-0.00930641473302077,-0.0272341603909405,0.0438590527599045,0.00327137348919272,0,-0.00740500573360441,0.111617796712957,-0.11322833019316,0.0409991734393834,-0.024272756708783,0,-0.00325399354044498,0.0248640930641974,-0.123956121249851,0.0564529207810793,0.19850568304382,0,0.0445765279944291,-0.0110026637127848,0.0176178948608857,0.0210859675460822,0.012354938676504,0,0.00150730716202827,0.592553529458024,0.890271628113444,0.615140362546176,-3569.56375601027
