"asc_TL","asc_TC","asc_TR","asc_DL","asc_DC","asc_DR","b_foot1","b_foot2","b_foot3","b_foot4","b_foot5","b_foot6","b_moveGK1","b_moveGK2","b_moveGK3","b_moveGK4","b_moveGK5","b_moveGK6","b_GKS1","b_GKS2","b_GKS3","b_GKS4","b_GKS5","b_GKS6","b_IS1","b_IS2","b_IS3","b_IS4","b_IS5","b_IS6","b_comL1","b_comL2","b_comL3","b_comL4","b_comL5","b_comL6","b_HGK1","b_HGK2","b_HGK3","b_HGK4","b_HGK5","b_HGK6","b_dec1","b_dec2","b_dec3","b_dec4","b_dec5","b_dec6","b_lp1","b_lp2","b_lp3","b_lp4","b_lp5","b_lp6","b_latr1","b_latr2","b_latr3","b_latr4","b_latr5","b_latr6","b_ladr1","b_ladr2","b_ladr3","b_ladr4","b_ladr5","b_ladr6","b_sr1","b_sr3","b_perc","b_rnog1","b_rnog2","b_rnog3","b_rnog4","b_rnog5","b_rnog6","b_solsbg1","b_solsbg2","b_solsbg3","b_solsbg4","b_solsbg5","b_solsbg6","b_nmovGK1","b_nmovGK2","b_nmovGK3","b_nmovGK4","b_nmovGK5","b_nmovGK6","b_def1","b_def2","b_def3","b_def4","b_def5","b_def6","logLike"
-0.553384467349254,0.262980847774607,1.20674146174583,0.14032817304484,0,2.63544337769796,0.423755270868911,0.817328617771665,-0.602349998720686,0.385346301390304,0,-0.207753919841421,-0.0533704885309284,-0.123550023797873,0.0474753954720913,0.406601762783892,0,-0.319233205283304,0.224456815245481,0.0150547129817076,-0.626340016494226,-0.157526842136812,0,-0.135112406408656,-0.214834608921748,-0.320205483852146,0.84124259670565,0.458406103549781,0,0.233615092033247,-0.708344785102913,-0.486927390746665,-0.137904728492683,-0.13692579189193,0,-0.0675283709543519,0.0239540086345236,0.0187792480275075,-0.0128089190398492,-0.014881700120491,0,0.027506578844811,0.348720553989255,-1.37021376442597,0.484998639622557,0.0674819565038142,0,0.192998397135707,0.0800535657041862,-0.578728357198245,-0.167858031445293,-0.170069976794458,0,0.173634861388688,0.448355198137516,0.954439929974344,1.03258215863152,0.677509939683655,0,0.533897819847763,-0.199061190000948,0.0500737174581045,-0.423122041141452,0.095336916077069,0,-0.224743398497941,-0.570914236585151,-0.269119116652456,0.330682445762435,-0.607279965327261,-0.968881351679189,0.302025882379768,-0.294736349277483,0,-0.227008012100569,0.100578387712499,-0.593380535053917,-0.372182269117969,-0.436735601119151,0,-0.262673190552048,0.0339534763191026,-0.458615904292179,0.26966090834824,0.625730275820736,0,-0.730051434900795,0.441886725586816,1.37870287689742,0.64530291593509,0.679744326289563,0,0.52068962406202,-3453.2528045255
-0.540588379363794,0.271434978915359,1.21369583903806,0.153824162397033,0,2.64542601660995,0.421034311555168,0.80117036593347,-0.607485608383014,0.379601580707975,0,-0.213138196940971,-0.0485045775057582,-0.121641942313372,0.0465424967387674,0.408990927210689,0,-0.317388880498035,0.219577600627486,0.0192923086602947,-0.619099030588252,-0.160580725585549,0,-0.135319773752488,-0.23128966418623,-0.31512270706422,0.838290771165481,0.46317966518978,0,0.234378250642988,-0.707779773410203,-0.483555481244014,-0.136130560207461,-0.134146486059042,0,-0.0662153825104522,0.0239129290555381,0.0187224446103207,-0.0127504291317872,-0.0150027997593645,0,0.0274597992933476,0.34704745817717,-1.37308229093279,0.488490527994763,0.0702473698596153,0,0.197133729981719,0.076809440945709,-0.581946171844683,-0.167524470873094,-0.171781487523072,0,0.171512730594286,0.447445431021216,0.953311646840376,1.03191726419961,0.677227888133645,0,0.534128218955156,-0.196666914856475,0.0532142238449751,-0.424123611941893,0.0967643990714374,0,-0.223096170945501,-0.606045829063879,-0.289437406316356,0.330773776764684,-0.613663417785222,-0.964834272867992,0.297894908491189,-0.296176437988393,0,-0.230789054904222,0.106479573042107,-0.59891086410713,-0.373581604653883,-0.441213781993192,0,-0.265880841219749,0.0361609116335031,-0.462127445713871,0.25982512095288,0.623257864992911,0,-0.73336040203596,0.444020064432736,1.38735252921807,0.656080520426964,0.685434312359315,0,0.526617357600713,-3453.25006536207
-0.537807549676119,0.272750649973329,1.2149055865768,0.15807178385689,0,2.64861238683289,0.417997095722759,0.802515143458174,-0.609474237561456,0.377684836833799,0,-0.215043164112363,-0.0483929002955973,-0.122920978561958,0.0455945154669697,0.407939334398228,0,-0.318443790263215,0.219148124378087,0.0190942623896885,-0.617635590873251,-0.160360459350441,0,-0.134925145474935,-0.23413773208242,-0.313164109227581,0.837087883803626,0.462849421503096,0,0.235478855214074,-0.708674373967454,-0.482445384479013,-0.136768324306877,-0.134344377160586,0,-0.0662003750136349,0.0238693500963824,0.0186960421933555,-0.0127700869247353,-0.0150545132091383,0,0.0274179920853996,0.347957684304,-1.37363542992061,0.488763242502374,0.0703693085994447,0,0.197254172965481,0.0760263064137701,-0.581308079186624,-0.168343037110522,-0.172192379552636,0,0.170959124580566,0.446948177979221,0.953618266934178,1.03192664892871,0.677076293412214,0,0.534222215768256,-0.196094345562761,0.051994640559036,-0.423524695546602,0.0968415566289031,0,-0.222927128670378,-0.615048506235542,-0.294646136729434,0.330692323644195,-0.614900687706547,-0.963768322856723,0.297135281226545,-0.296422793626289,0,-0.230892236316233,0.107024087122516,-0.599155609238134,-0.373592475163503,-0.441424245143983,0,-0.266807575521248,0.0380841376602882,-0.463224197753555,0.259475677188001,0.622521097910644,0,-0.733921607230343,0.445324396447523,1.38718944624611,0.657849077726511,0.686330100015752,0,0.527703587559219,-3453.24844152344
-0.531724020419505,0.274841200767462,1.21875665073791,0.17530047084783,0,2.66108723359302,0.416650774139595,0.802662616340312,-0.609625885734347,0.376652520893927,0,-0.215899947943573,-0.0503254411208477,-0.126088154867998,0.0452802497049738,0.405054654293553,0,-0.320222381975682,0.219522858000692,0.0222153177652028,-0.619613938285201,-0.162382896197804,0,-0.137284921748849,-0.232541452824365,-0.308096357956861,0.834194456101616,0.459736546669522,0,0.231960442232488,-0.710159327036948,-0.484556763573918,-0.140265954320381,-0.138043149603894,0,-0.0701407800255025,0.0238829743865501,0.0187260438380247,-0.012768944925761,-0.0151271677354219,0,0.0273639578905277,0.349275394055295,-1.37398854979143,0.487617916896591,0.0695054075977442,0,0.196916872538199,0.0770115753096493,-0.578886933852648,-0.167856238427663,-0.171700813065963,0,0.171326674284217,0.447368419545865,0.952841851936646,1.03396697091637,0.678153741205622,0,0.535433231063673,-0.196601156944657,0.0510462736129701,-0.424648807617959,0.0958374427001715,0,-0.223667846709173,-0.649247827273818,-0.314315223755536,0.330378803980983,-0.612061637472795,-0.963739051202183,0.297275629642283,-0.296754571100592,0,-0.231512680734215,0.10690139089123,-0.601330781883706,-0.372052101602807,-0.440214118400306,0,-0.265483107954799,0.0359707050652868,-0.467901152974781,0.260600203091177,0.617804771309075,0,-0.736023176549497,0.44400520785378,1.38604235233003,0.658242360058924,0.685302860164013,0,0.527014143355042,-3453.24448184589
-0.515586349461284,0.285949380421926,1.23106032508893,0.198040356241255,0,2.67893519336405,0.416505266685623,0.807824477544536,-0.609951039223398,0.376376704537091,0,-0.216045436811653,-0.0538527832064929,-0.129346758867976,0.0416635802784282,0.400879867625682,0,-0.323186833374368,0.220457374930456,0.0214151910053818,-0.618499552026255,-0.163483353427474,0,-0.139079669701109,-0.234061278986048,-0.307389953059213,0.834120898052806,0.454811415912893,0,0.228999683305722,-0.708506887354953,-0.483601006867201,-0.138246786382503,-0.138577628336675,0,-0.0701801625650459,0.0237773749395423,0.0185849912999018,-0.012838453834819,-0.0152923371451369,0,0.0272008483978419,0.343413973646584,-1.37390113566419,0.494075830642429,0.0663255050591243,0,0.193917398617675,0.0728026469994483,-0.578362197799557,-0.166403673025765,-0.172081441820548,0,0.171333466509234,0.453135603426547,0.952985588484306,1.03038882768288,0.677030145461339,0,0.534130259402731,-0.198085777206661,0.0479115031916493,-0.426275892921805,0.0938363827246996,0,-0.225850312883783,-0.718129529518561,-0.353927567997273,0.331050038028487,-0.612284639625408,-0.970115288700845,0.295782140701147,-0.300246559959782,0,-0.234554260609603,0.106870677067358,-0.603463554733099,-0.373096591303422,-0.439475576995489,0,-0.265523233562893,0.031720056867261,-0.471650941423325,0.256341373900588,0.611806351864672,0,-0.739224432408224,0.443379922700687,1.3832004775965,0.650969613426027,0.681154058580907,0,0.523216939168222,-3453.2401246794
-0.476548764130978,0.315295910216985,1.2626308224473,0.23497395952829,0,2.7111524462948,0.413065800092808,0.811204784689508,-0.610134214814437,0.375579788230512,0,-0.217027623567715,-0.0613900531506038,-0.134829933966171,0.0323711379191194,0.392318624528097,0,-0.329895407471595,0.22087610099395,0.0163680270112959,-0.61727134880516,-0.164805446994977,0,-0.142614839224057,-0.239703235781492,-0.309980486636123,0.838251321314004,0.448241552829912,0,0.226661697632015,-0.709575348158049,-0.482030183873506,-0.132956776477869,-0.137612186513149,0,-0.0683692053690315,0.0237409218766689,0.0183684246533921,-0.0129187157847127,-0.0154432331031799,0,0.0270234785978495,0.3524393274864,-1.37398467174835,0.479480413268846,0.0645225439410979,0,0.191699427082339,0.0734630213407679,-0.577643225832666,-0.167953358863109,-0.174525058568692,0,0.169019940913649,0.450185431913694,0.948993083073982,1.03322886154443,0.679219720924307,0,0.536702802627594,-0.198916535519136,0.0468920936850684,-0.428623098939497,0.0925396776188608,0,-0.22711296860244,-0.871857475590093,-0.44232128526565,0.33052957010875,-0.621198490716371,-0.984198170430535,0.293790768174594,-0.305884680562984,0,-0.239092475014508,0.107888791550828,-0.602906358601119,-0.371905436418292,-0.436218657187635,0,-0.264040988169639,0.0222230014549733,-0.477644732187001,0.242391260619196,0.599080554323916,0,-0.747931685260125,0.434548189615379,1.37344205525078,0.64508400791321,0.673334855565274,0,0.516397999151108,-3453.23311893048
-0.441865273956893,0.341077818557104,1.29125664268355,0.254583679638336,0,2.73183115949669,0.406407128979146,0.803779862068744,-0.614368263825837,0.370336486441298,0,-0.222181140644155,-0.0672458798355332,-0.140648278236911,0.026046582867983,0.387932480193064,0,-0.335019725487602,0.217800736970107,0.0142270754226622,-0.619794172572556,-0.166747755669732,0,-0.143502186622664,-0.243283370955725,-0.309287748931001,0.84031558059744,0.446978792713417,0,0.224780260979196,-0.715059255478842,-0.487516082719225,-0.139438757388689,-0.144735939734328,0,-0.0756702326912747,0.0238675361601257,0.0184327584940237,-0.0128203558748626,-0.0153452442156492,0,0.0271163064921363,0.354103246171456,-1.37553365601055,0.486045936685874,0.0596354704597441,0,0.186615429890783,0.0772685905834622,-0.573154067712891,-0.17394134757405,-0.173269986688577,0,0.170841884395719,0.4452179528941,0.949264407909378,1.04049604118195,0.679548451825634,0,0.536654299043863,-0.195687712581373,0.0460633967153019,-0.42100489376788,0.094992020922028,0,-0.224961204258813,-1.00247893760072,-0.517448801668155,0.330971111704333,-0.618356846805498,-0.985514836622308,0.294197809312385,-0.308069302781591,0,-0.241401822901706,0.113339798836391,-0.598350081246988,-0.370213578797721,-0.432577861016539,0,-0.260039520658279,0.0131570429463975,-0.487525073760005,0.231918836141632,0.592722992183661,0,-0.756013702395743,0.432949635074113,1.36797150576781,0.63944446389398,0.670998073077136,0,0.514537329362747,-3453.22884486875
-0.391983478982666,0.377773158491981,1.33135545013844,0.276872319565899,0,2.76201920377669,0.394020733791543,0.800006240899972,-0.624122340033475,0.362537037474997,0,-0.230334992299798,-0.0744847078517152,-0.150294025488304,0.0202374675703793,0.382894092217518,0,-0.339616317825651,0.218099478359204,0.0163534371744081,-0.622362074710514,-0.166878536509334,0,-0.147721595742473,-0.244653094523675,-0.307414937926837,0.834596221453657,0.438311570329749,0,0.219809687776323,-0.726777114934574,-0.497250552866782,-0.15312458834422,-0.152864526580728,0,-0.0834345940295313,0.0239642714337334,0.0183973948752479,-0.0127625377713425,-0.0152886919104768,0,0.027084983070608,0.347094980876162,-1.38127418947355,0.487020598643277,0.0660724886859242,0,0.192388679504385,0.0771970467773059,-0.57461178859511,-0.168141787617111,-0.174813219406199,0,0.168630592454635,0.446042532438903,0.945762498603245,1.03593114225106,0.682010171899435,0,0.539641409703887,-0.194283176745567,0.0534572852140773,-0.42282352530899,0.0975932993387793,0,-0.22231215155935,-1.19269309562129,-0.62690830172417,0.330383632430057,-0.615623938688413,-0.98131787936654,0.293944872207062,-0.301637897956776,0,-0.234073454829937,0.112081131441172,-0.600438835716544,-0.370210081625807,-0.428762335017226,0,-0.258317165658472,0.0012319201172064,-0.504867107293522,0.223371763594201,0.585683665534322,0,-0.762380305909991,0.432921703826938,1.36626350073309,0.636715827699373,0.668599614788388,0,0.512276436754398,-3453.22417861486
-0.338749641979095,0.41643350735619,1.37318728680747,0.304684058522339,0,2.79492310728162,0.392847210146786,0.793929153521177,-0.627661516185667,0.359307174775351,0,-0.233220533033603,-0.0809366021668718,-0.158490399848805,0.0181759038636642,0.380658804179016,0,-0.343181451247149,0.219251761423091,0.0243178574598278,-0.625715794516181,-0.166617152648963,0,-0.146886827168829,-0.246103280125654,-0.306168323271141,0.81543226665846,0.431819385178266,0,0.212682403427035,-0.730688992491765,-0.500676049499427,-0.159501371730474,-0.159684544454911,0,-0.0900903679215901,0.0236119665100386,0.01794193806755,-0.0131707084065549,-0.0156678846427301,0,0.0267071121995398,0.361573743728326,-1.38736647481581,0.483741954352026,0.0644382929378382,0,0.190353361099227,0.0686550854937492,-0.576786749176082,-0.168157145786662,-0.175252126198677,0,0.16906989324164,0.452333730052885,0.947377102796247,1.02758192859169,0.676705698184353,0,0.533117334667987,-0.194243567403986,0.0477387473986567,-0.425298994879476,0.0950991947628979,0,-0.225430206903006,-1.41107703525615,-0.752616284727971,0.332407032022424,-0.60920407899835,-0.973528634056969,0.296639358493379,-0.300733970362303,0,-0.233192969121957,0.104097267020006,-0.608465007224458,-0.368491424607778,-0.434037245322598,0,-0.263230519284776,-0.0123298354297696,-0.522359343513869,0.219846994760894,0.581592434284068,0,-0.76953984501592,0.433199511822339,1.36714178075664,0.636115429074598,0.671071167963908,0,0.514431104953384,-3453.21835930143
-0.300190295766462,0.442575053412022,1.39972746663366,0.332271660984205,0,2.82103612494882,0.395465371597121,0.797233438421944,-0.621920890046372,0.363329278731665,0,-0.229208248421912,-0.0845794219471893,-0.163252863300139,0.0179379232370408,0.376773322230315,0,-0.347214637997952,0.216702375738439,0.0245392465117248,-0.631535001723282,-0.1686976709875,0,-0.148212288494419,-0.2458924148859,-0.304079795138065,0.803754704645939,0.427204074859881,0,0.207115449399831,-0.725186014867692,-0.495616128602582,-0.160763793453802,-0.157318338483109,0,-0.0878518855162794,0.0234706775689912,0.0176777800424575,-0.0134089612839126,-0.0159223660354674,0,0.0264859037740536,0.358683883433325,-1.39018078116045,0.48842612254934,0.0658484895313809,0,0.192109148440469,0.073209510876895,-0.574454547029516,-0.171166360013718,-0.17547728452532,0,0.168349808786973,0.444970047105976,0.943856814702086,1.03195259088523,0.677408159260465,0,0.534285414276647,-0.198940231183318,0.0429693108640915,-0.428824313183462,0.0912651331719132,0,-0.229028954843219,-1.60582045571635,-0.864795169753545,0.332054842972893,-0.610088175856763,-0.974539252865633,0.288320638010679,-0.303765448970739,0,-0.236652835273335,0.102415259283442,-0.612121536895599,-0.368055378183234,-0.434722051967275,0,-0.263565861641047,-0.0222766831346763,-0.534670682592816,0.21676621903122,0.57097980286551,0,-0.780118199050869,0.436457190852071,1.37017326170929,0.640814529848594,0.675054595567316,0,0.518318950306039,-3453.20702713868
