"b_player_position_MF2","b_player_position_MF3","b_player_position_MF4","b_player_position_MF5","b_player_position_MF6","b_player_position_ST2","b_player_position_ST3","b_player_position_ST4","b_player_position_ST5","b_player_position_ST6","b_asc_TC","b_asc_TR","b_asc_BL","b_asc_BC","b_asc_BR","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4224.96882843975
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4224.96882843975
-0.128533333190717,-0.0949333334574476,0.197866666712798,-0.0965333325439133,0.17226666532224,-0.257333334593568,-0.178933334245812,0.509066665836144,-0.228533333574887,0.339466666628141,-0.417600000218954,-0.289600000542123,0.775999999314081,-0.371200000518002,0.559999998949934,-3602.83555927697
-0.154684406591779,-0.102241387720825,0.189778584637026,-0.0971905095055492,0.224674588759799,-0.263790336894673,-0.136788110405766,0.447536469188671,-0.216296504520016,0.41678202230912,-0.453673232427806,-0.246972370419241,0.720180221669103,-0.379569371029702,0.706167524753243,-3596.02417781641
-0.262263450728243,-0.130587175496272,0.235211788506134,-0.0729093870831782,0.326000429526316,-0.232296147311863,0.106555636063161,0.433745706467079,-0.0980701868578253,0.35960550549978,-0.538440092793011,0.013450285583393,0.852242138889007,-0.343403187453292,0.797690354037828,-3591.99371107291
-0.31092688111879,-0.187699224545615,0.248667054767739,-0.0183876163849864,0.345375470785123,-0.12228724702145,0.144227552409921,0.420985734436689,0.0333141981427059,0.373878174790842,-0.468003197253018,0.0241558132488805,0.955404751660125,-0.271013957982137,0.877448397320907,-3588.35756265755
-0.334774280299809,-0.194042441698638,0.186166152334073,0.0266529806758794,0.301774117012496,-0.0394032035586003,0.164638312542538,0.441944494271483,0.0753529328387847,0.411289718454103,-0.394537620605548,0.081806849700282,1.01200252699816,-0.319682020079922,0.917579570527795,-3586.60260036701
-0.366119413694492,-0.210258964561996,0.111632284770842,0.072484634675565,0.244779007640691,-0.0337337870421117,0.155812375881515,0.450454187829277,0.148839202841811,0.430826294323026,-0.409281356802283,0.102760660623986,1.0362256151519,-0.338590329842396,0.928788903003508,-3585.50195761759
-0.576138116240618,-0.531142705478163,-0.186920063319608,0.196976102923943,-0.0251668978019126,0.0144536322532218,0.133809130425814,0.275721643922378,0.594607314154673,0.359701431754844,-0.459703801860213,0.0933662912077336,1.15752810776618,-0.787309303202342,0.958507620851193,-3582.89976827839
-0.590828242873404,-0.565402889704329,-0.235303271995383,0.227292540198624,-0.0117658811700978,0.00897088663107318,0.115013574375093,0.288027926648346,0.63475434532481,0.315432399797518,-0.450395219879307,0.0942200997130667,1.15343801767177,-0.830997179069497,0.978809350264176,-3582.72621009066
-0.595288763757387,-0.621282451962682,-0.186229398594274,0.39123044133682,-0.0429991010544387,-0.0810594024521631,0.0142884685792945,0.282985851325597,0.691583493871667,0.24365564760215,-0.388663447535338,0.163018191442582,1.14715783480731,-0.915299367030235,1.03204586191403,-3581.28887466687
-0.618433236595231,-0.563687385591309,-0.172242284424193,0.401156729966703,0.00899099348181814,-0.150195203619331,-0.107231134313342,0.247005049355957,0.767208418147988,0.244919050794172,-0.326703744987085,0.223636933763992,1.17952159385983,-0.963488633911657,1.02090916407577,-3580.76092512608
-0.648093294824701,-0.580033413346182,-0.202995112012696,0.446606804860719,0.0702964032220706,-0.226964579756778,-0.121629360828149,0.212405353346815,0.739413810895759,0.300038989197596,-0.265155259181751,0.222918963351105,1.21801006728009,-0.959536770993842,0.965545705130385,-3579.81229214873
-0.957162753343424,-0.502579527869925,-0.124752318536455,0.297247127936584,-0.107029289223077,-0.287633684078972,-0.053444705014762,0.426723273628562,0.577488724906286,0.298518344650808,-0.125218855938951,0.0813162511106632,1.09538565154761,-0.820879293471608,1.00489353253016,-3578.0961010759
-0.848247041182997,-0.51145839519136,-0.137737626620275,0.248929044570918,-0.14575364374869,-0.314420746214088,-0.0249487454489034,0.440176703428401,0.58511089482756,0.289287560913786,-0.112741655622055,0.0767499562317812,1.1120535109583,-0.795663127245982,1.03887181412706,-3577.76802288972
-0.778940844520343,-0.50437068471258,-0.155188398646307,0.259847212233403,-0.155084515829469,-0.268550862786299,-0.048072299593428,0.402923680481702,0.552232793083698,0.26126475927305,-0.161813483694701,0.0840203427199319,1.14238132635552,-0.779702536063188,1.05816416587684,-3577.4551789687
-0.70199656162352,-0.625716658090226,-0.142083192477424,0.267458479021288,-0.113924931863575,-0.203700393908656,-0.141333756376022,0.419597051617374,0.549198360490573,0.307225757061067,-0.223943667921304,0.178275054353639,1.13003742583846,-0.776593064858068,1.019531036969,-3577.20332831012
-0.675291426289507,-0.602944739025187,-0.147352037653933,0.343727814716716,-0.0832916486034122,-0.233186330590052,-0.14625429349959,0.373464034528707,0.563992667758443,0.296321720093619,-0.216639824091262,0.178281684520196,1.15976625362214,-0.805863339754592,1.01971584729186,-3576.90422607229
-0.63960132009041,-0.584895808869206,-0.16599631453987,0.399071519483149,-0.063454627293641,-0.252806647404069,-0.160669300075709,0.311577925720489,0.555988695936982,0.271126715650324,-0.220703066111906,0.184352167402787,1.20271520551317,-0.81734799515452,1.03129531523696,-3576.79464583024
-0.634868806933649,-0.580846045565573,-0.160935003894943,0.404939177244297,-0.0596428754423521,-0.249222197867,-0.157074029665388,0.315891352788699,0.561363266400639,0.274238935842725,-0.22399220628678,0.181399879689453,1.19908414979445,-0.821998025346401,1.0287756575562,-3576.7944829089
