"beta_1","beta_2","beta_3","beta_4","beta_5","beta_6","beta_7","beta_8","beta_9","beta_10","logLike"
0,0,0,0,0,0,0,0,0,0,-8488.89782388526
0,0,0,0,0,0,0,0,0,0,-8488.89782388526
3.23813937250742,-3.29682745516232,3.2789945391327,-3.29305699353056,2.99822583217878,-3.06904405166862,3.23150335864324,-3.13719058226685,3.16412184076652,-3.27997578475298,-4426.52665985402
3.22124873609071,-3.26072319611427,3.32637493119492,-3.21220341679268,3.09995196795533,-3.05568254932959,3.3254380540761,-3.12435897465644,3.13912123941195,-3.23716569201909,-4414.5730500522
3.19972951461752,-3.28460255876794,3.30618860031901,-3.19642327570175,3.06600435965933,-3.04244982004376,3.37391084679338,-3.14427259624792,3.15494072436849,-3.21786243436528,-4413.79280444829
3.00566536528443,-3.24345763353599,2.9666109471324,-3.32875026911241,3.09835806460459,-2.91775033826329,3.41596221891786,-2.86238439058626,2.91241829681472,-3.07086081434917,-4335.82532795196
2.42037723716339,-2.64378075907172,2.41121013074641,-2.66109496017036,2.66992015723059,-2.33237414222632,2.80632420020872,-2.3425766040939,2.39249081566422,-2.47789597005275,-3686.73826598533
1.48171106652258,-0.959282104961575,1.72530278313757,-1.40863207376875,0.987056457761742,-1.75280058902802,2.0586312087878,-0.887915152781943,0.787284968016123,-1.25840290914198,-3550.70479355906
1.47566192302504,-0.930555118923087,1.73654326485402,-1.42668120289986,0.975377111226358,-1.72018528566437,2.05349402600533,-0.860597166479176,0.821981583728968,-1.22976738839905,-3541.99083460308
1.01874600253038,-0.685158841460777,1.29104656532743,-0.975375298323679,0.594915470838726,-0.587175944016805,1.23791882671312,-0.701868952200549,0.291611038103404,-0.837054592986099,-3264.39913968052
0.904927107344285,-0.622347419232811,1.13909007451147,-0.84953594630359,0.556267713438922,-0.558201295627134,1.08679933989736,-0.632705416648245,0.297217903284113,-0.75059759104031,-3137.79038074572
0.905062869144555,-0.57193616270498,1.10997666199528,-0.858846341860505,0.560982376051074,-0.554254929572911,1.09481091049373,-0.66921337145808,0.302164399245477,-0.767428969463758,-3132.21096090258
1.21533375291917,-0.790080791887754,0.955682230963448,-0.799824124171549,0.742305023990606,-0.509051208116356,1.07467289297839,-0.719045936906169,0.666380858436588,-1.00995442196283,-2783.07300618136
0.867826665224136,-1.10426842567147,1.18134039067662,-1.12208628131422,1.03622075171617,-0.757864810297248,0.833503446224481,-1.2293774514146,0.93415781226955,-0.866817938534411,-2606.09936309522
0.852233128588347,-1.1039485091466,1.18646253654811,-1.12114554968356,1.03538126151096,-0.756026027495252,0.835257498537262,-1.2241263940457,0.937529765931275,-0.883862166382224,-2604.5941417884
1.01127766910001,-1.03766850242998,0.936784319026357,-1.09994919232602,0.937460953917346,-1.1722498257166,1.16164391861358,-0.941320018058049,1.02124001828551,-1.04406545128607,-2465.78980233946
1.10246341834474,-0.997173128501778,1.19239744858655,-0.978739301562744,1.00958005505752,-1.03778774295375,1.05794153452624,-1.00851315629125,1.04671773483832,-1.07123037936899,-2428.62341045941
1.00161532571928,-1.06553518910328,1.03167016903582,-1.07865614292273,0.996971254888041,-0.875368355949428,1.04891291016,-1.01216578188544,1.00240657667898,-1.00475598273867,-2414.98992409976
1.027211871919,-1.03122438793061,1.03895192760654,-1.04041404970564,0.958008183440968,-0.974264074846571,1.03568312715209,-0.986873619933805,1.01305723312672,-1.02758467433518,-2403.84514772955
1.02515286060714,-1.02972721791427,1.04059063421161,-1.03525002002479,0.962775320015728,-0.972197589590339,1.04075952884814,-0.986299583409231,1.01283973951167,-1.02451224176275,-2403.51826093951
1.019330229785,-1.02118069762564,1.04158223462108,-1.02698536483237,0.971670925578816,-0.956228111053957,1.0368958485846,-0.978252163785798,1.00442108757661,-1.01614875555992,-2403.24846230848
1.01843297970718,-1.02125719461096,1.041424074862,-1.02556727086889,0.969632424364475,-0.955489759230335,1.03793860988244,-0.979183454357761,1.00458632593501,-1.01510877515245,-2403.2190403058
1.01652847609616,-1.02094636743973,1.03942828148931,-1.02417662351729,0.965316915982453,-0.956641954166294,1.03905653685738,-0.979652447353312,1.00366354232087,-1.0135505533526,-2403.19599172979
1.01655614042317,-1.02082159691716,1.03964325265201,-1.02423152400065,0.965218806803868,-0.956495236680204,1.03890879654542,-0.979631950318312,1.00348432861684,-1.01352693160326,-2403.19563203867
1.0163601616547,-1.0206242504948,1.03943102717332,-1.02400390727951,0.964991554095512,-0.95633751338368,1.03870548218892,-0.979431452753734,1.00333286266757,-1.01332361533413,-2403.19546425827
1.01634366942867,-1.02061821093988,1.03940020823727,-1.02401209890901,0.965014528920831,-0.956311487678866,1.03869915164488,-0.979425087443857,1.00329771442855,-1.01331647098607,-2403.19545691438
1.01635539979206,-1.02055604381956,1.03950251030158,-1.02405176246094,0.964982190058719,-0.956226338107878,1.03862505420907,-0.979417132700014,1.00319072689422,-1.01330656996487,-2403.19536188181
