"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"beta_1",1.01622277927453,0.0297388821893045,34.171519050572,0.0288226061659129,35.2578380117607
"beta_2",-1.0203783952046,0.0298181774294187,-34.2200121928946,0.0298178852888453,-34.220347463283
"beta_3",1.03947468179063,0.0305032779845542,34.0774746345946,0.0306488952412049,33.9155677100277
"beta_4",-1.02387190852197,0.0296594442110483,-34.5209404881758,0.0304332179247014,-33.6432351996182
"beta_5",0.964752006339406,0.029356362464311,32.8634723567088,0.029204573860322,33.0342778139331
"beta_6",-0.956027351788017,0.0290464649907758,-32.9137246853143,0.0304755019983383,-31.3703561582069
"beta_7",1.03838823669494,0.0303136939074764,34.2547575978142,0.0301180726706306,34.477247201396
"beta_8",-0.979258668137492,0.0292298711345523,-33.5019837627653,0.0296446623447972,-33.0332205085601
"beta_9",1.00302440052378,0.0293918746230666,34.1259077002394,0.0305707188557898,32.8099710463242
"beta_10",-1.01313642879006,0.0295848674465393,-34.2450893390287,0.0292850580685788,-34.5956776461746
