"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_age2",0.000207907955220811,NA,NA,NA,NA
"b_age3",0.000207956297347454,NA,NA,NA,NA
"b_age4",0.000207956297280625,NA,NA,NA,NA
"b_age5",0.00020795629816367,NA,NA,NA,NA
"b_age6",0.000208016125934155,NA,NA,NA,NA
"b_height_gk2",-0.000536536720270615,NA,NA,NA,NA
"b_height_gk3",-0.000536586789292649,NA,NA,NA,NA
"b_height_gk4",-0.000536903611912979,NA,NA,NA,NA
"b_height_gk5",-0.000537429242781524,NA,NA,NA,NA
"b_height_gk6",-0.000536465601341361,NA,NA,NA,NA
"b_player_position_MF2",-1.04486207502393,NA,NA,NA,NA
"b_player_position_MF3",-0.522189744340948,NA,NA,NA,NA
"b_player_position_MF4",-0.250703049517678,NA,NA,NA,NA
"b_player_position_MF5",0.433253417771534,NA,NA,NA,NA
"b_player_position_MF6",-0.116146029082705,NA,NA,NA,NA
"b_player_position_ST2",-0.926412272878774,NA,NA,NA,NA
"b_player_position_ST3",-0.162482730488097,NA,NA,NA,NA
"b_player_position_ST4",-0.00209126266906623,NA,NA,NA,NA
"b_player_position_ST5",0.296502865923603,NA,NA,NA,NA
"b_player_position_ST6",-0.000952250163637322,NA,NA,NA,NA
"b_foot_R2",0.340843101733693,NA,NA,NA,NA
"b_foot_R3",-0.999075712417305,NA,NA,NA,NA
"b_foot_R4",-0.0178588798366868,NA,NA,NA,NA
"b_foot_R5",-0.466469547148925,NA,NA,NA,NA
"b_foot_R6",-0.576826905151506,NA,NA,NA,NA
"b_greak_gk_yes2",0.428535510813659,NA,NA,NA,NA
"b_greak_gk_yes3",0.397497196001439,NA,NA,NA,NA
"b_greak_gk_yes4",0.311145280224877,NA,NA,NA,NA
"b_greak_gk_yes5",0.634066256513704,NA,NA,NA,NA
"b_greak_gk_yes6",0.484415565326055,NA,NA,NA,NA
"b_location_A2",-0.246386978420558,NA,NA,NA,NA
"b_location_A3",0.500716218165325,NA,NA,NA,NA
"b_location_A4",0.149450348786973,NA,NA,NA,NA
"b_location_A5",0.109176226126284,NA,NA,NA,NA
"b_location_A6",0.0165265790951086,NA,NA,NA,NA
"b_location_H2",-0.390166062243516,NA,NA,NA,NA
"b_location_H3",0.504658624778915,NA,NA,NA,NA
"b_location_H4",0.0807336411990927,NA,NA,NA,NA
"b_location_H5",-0.309664014202955,NA,NA,NA,NA
"b_location_H6",-0.110808491795801,NA,NA,NA,NA
"b_round_Final2",1.18491574955592,NA,NA,NA,NA
"b_round_Final3",2.09680784070963,NA,NA,NA,NA
"b_round_Final4",2.82242946508924,NA,NA,NA,NA
"b_round_Final5",-1.53935911191259,NA,NA,NA,NA
"b_round_Final6",1.17196385339313,NA,NA,NA,NA
"b_round_Group2",0.222359798636645,NA,NA,NA,NA
"b_round_Group3",1.13772216087288,NA,NA,NA,NA
"b_round_Group4",1.40767173114269,NA,NA,NA,NA
"b_round_Group5",-1.39632031997527,NA,NA,NA,NA
"b_round_Group6",-0.257095331779718,NA,NA,NA,NA
"b_round_KO2",0.0310340797364753,NA,NA,NA,NA
"b_round_KO3",-0.517683406493586,NA,NA,NA,NA
"b_round_KO4",3.13171228090916,NA,NA,NA,NA
"b_round_KO5",-0.174382752501908,NA,NA,NA,NA
"b_round_KO6",-1.8780943808548,NA,NA,NA,NA
"b_round_match_place_32",-1.32878574436793,NA,NA,NA,NA
"b_round_match_place_33",4.01473464754442,NA,NA,NA,NA
"b_round_match_place_34",3.08456267351504,NA,NA,NA,NA
"b_round_match_place_35",1.00769946670129,NA,NA,NA,NA
"b_round_match_place_36",-4.39498700674464,NA,NA,NA,NA
"b_round_Quarter-Final2",0.838761028166578,NA,NA,NA,NA
"b_round_Quarter-Final3",0.537073588733719,NA,NA,NA,NA
"b_round_Quarter-Final4",1.57967850952434,NA,NA,NA,NA
"b_round_Quarter-Final5",-1.85001651145372,NA,NA,NA,NA
"b_round_Quarter-Final6",0.200429243293091,NA,NA,NA,NA
"b_round_Semi-Final2",1.82477854737045,NA,NA,NA,NA
"b_round_Semi-Final3",2.40063255966059,NA,NA,NA,NA
"b_round_Semi-Final4",2.99965718364426,NA,NA,NA,NA
"b_round_Semi-Final5",-1.2072089089059,NA,NA,NA,NA
"b_round_Semi-Final6",0.831737096664198,NA,NA,NA,NA
"b_competition_grouped_Copa_America2",-2.34370206145616,NA,NA,NA,NA
"b_competition_grouped_Copa_America3",2.17020569228133,NA,NA,NA,NA
"b_competition_grouped_Copa_America4",-1.70435680311786,NA,NA,NA,NA
"b_competition_grouped_Copa_America5",0.360678540029966,NA,NA,NA,NA
"b_competition_grouped_Copa_America6",1.19777241093434,NA,NA,NA,NA
"b_competition_grouped_Cup2",0.502503863906287,NA,NA,NA,NA
"b_competition_grouped_Cup3",0.262921989732042,NA,NA,NA,NA
"b_competition_grouped_Cup4",-1.88969904293929,NA,NA,NA,NA
"b_competition_grouped_Cup5",0.370126916675981,NA,NA,NA,NA
"b_competition_grouped_Cup6",0.342780354765989,NA,NA,NA,NA
"b_competition_grouped_EL2",-0.789789802931638,NA,NA,NA,NA
"b_competition_grouped_EL3",0.804401889745379,NA,NA,NA,NA
"b_competition_grouped_EL4",-0.737643637700281,NA,NA,NA,NA
"b_competition_grouped_EL5",1.41033546653206,NA,NA,NA,NA
"b_competition_grouped_EL6",0.665515457313874,NA,NA,NA,NA
"b_competition_grouped_EM2",-0.237023400062233,NA,NA,NA,NA
"b_competition_grouped_EM3",0.822476227207719,NA,NA,NA,NA
"b_competition_grouped_EM4",-1.62798233028602,NA,NA,NA,NA
"b_competition_grouped_EM5",0.344910513231189,NA,NA,NA,NA
"b_competition_grouped_EM6",0.262747143640881,NA,NA,NA,NA
"b_competition_grouped_League2",1.5529136160965,NA,NA,NA,NA
"b_competition_grouped_League3",1.98683760200201,NA,NA,NA,NA
"b_competition_grouped_League4",0.435878184078836,NA,NA,NA,NA
"b_competition_grouped_League5",-0.0488013793065028,NA,NA,NA,NA
"b_competition_grouped_League6",0.837997618971418,NA,NA,NA,NA
"b_competition_grouped_NL2",-2.3557829878195,NA,NA,NA,NA
"b_competition_grouped_NL3",0.829758425852021,NA,NA,NA,NA
"b_competition_grouped_NL4",-1.18829189156608,NA,NA,NA,NA
"b_competition_grouped_NL5",-2.20058383757116,NA,NA,NA,NA
"b_competition_grouped_NL6",0.51959588045269,NA,NA,NA,NA
"b_competition_grouped_Qualification2",0.877797149211565,NA,NA,NA,NA
"b_competition_grouped_Qualification3",1.56121381064534,NA,NA,NA,NA
"b_competition_grouped_Qualification4",-1.08949316516608,NA,NA,NA,NA
"b_competition_grouped_Qualification5",1.14198976206962,NA,NA,NA,NA
"b_competition_grouped_Qualification6",0.650856149370006,NA,NA,NA,NA
"b_competition_grouped_UCL2",1.4361455061842,NA,NA,NA,NA
"b_competition_grouped_UCL3",1.10292172339633,NA,NA,NA,NA
"b_competition_grouped_UCL4",-1.23976548444862,NA,NA,NA,NA
"b_competition_grouped_UCL5",1.73392770097762,NA,NA,NA,NA
"b_competition_grouped_UCL6",1.07487557425149,NA,NA,NA,NA
"b_competition_grouped_WM2",-0.144150159624254,NA,NA,NA,NA
"b_competition_grouped_WM3",1.0067724511221,NA,NA,NA,NA
"b_competition_grouped_WM4",-1.77321077368462,NA,NA,NA,NA
"b_competition_grouped_WM5",0.871401771622448,NA,NA,NA,NA
"b_competition_grouped_WM6",0.197481035159976,NA,NA,NA,NA
"b_competition_grouped_WMCUP2",0.205909910528156,NA,NA,NA,NA
"b_competition_grouped_WMCUP3",-0.317146630212455,NA,NA,NA,NA
"b_competition_grouped_WMCUP4",3.32478786009844,NA,NA,NA,NA
"b_competition_grouped_WMCUP5",0.059247832330574,NA,NA,NA,NA
"b_competition_grouped_WMCUP6",-1.58202958235771,NA,NA,NA,NA
"b_Importantness_Game_22",0.693403634226683,NA,NA,NA,NA
"b_Importantness_Game_23",2.78380081784969,NA,NA,NA,NA
"b_Importantness_Game_24",0.411451096723121,NA,NA,NA,NA
"b_Importantness_Game_25",1.45720594167599,NA,NA,NA,NA
"b_Importantness_Game_26",0.797463865001626,NA,NA,NA,NA
"b_Importantness_Game_32",-0.667524090284983,NA,NA,NA,NA
"b_Importantness_Game_33",2.89926857027283,NA,NA,NA,NA
"b_Importantness_Game_34",0.184694123964291,NA,NA,NA,NA
"b_Importantness_Game_35",1.23721166469697,NA,NA,NA,NA
"b_Importantness_Game_36",0.237217047798033,NA,NA,NA,NA
"b_Importantness_Game_42",-0.286943502903166,NA,NA,NA,NA
"b_Importantness_Game_43",2.89283323218188,NA,NA,NA,NA
"b_Importantness_Game_44",0.14053670588271,NA,NA,NA,NA
"b_Importantness_Game_45",1.13247131856933,NA,NA,NA,NA
"b_Importantness_Game_46",-0.0317556062188965,NA,NA,NA,NA
"b_Importantness_Game_52",-0.924260641743432,NA,NA,NA,NA
"b_Importantness_Game_53",1.37450643830543,NA,NA,NA,NA
"b_Importantness_Game_54",-1.5462173118386,NA,NA,NA,NA
"b_Importantness_Game_55",0.14907393405224,NA,NA,NA,NA
"b_Importantness_Game_56",-1.25522686645937,NA,NA,NA,NA
"b_Penalty_type_Ingame2",0.553049531864735,NA,NA,NA,NA
"b_Penalty_type_Ingame3",-0.379037357319352,NA,NA,NA,NA
"b_Penalty_type_Ingame4",0.107045879256597,NA,NA,NA,NA
"b_Penalty_type_Ingame5",-0.357834158425772,NA,NA,NA,NA
"b_Penalty_type_Ingame6",0.355516431629834,NA,NA,NA,NA
"b_minute_pars_12",0.175565077649704,NA,NA,NA,NA
"b_minute_pars_13",0.565261134389336,NA,NA,NA,NA
"b_minute_pars_14",0.38372186224882,NA,NA,NA,NA
"b_minute_pars_15",0.68339536616889,NA,NA,NA,NA
"b_minute_pars_16",0.326700318796137,NA,NA,NA,NA
"b_minute_pars_22",0.4015305804151,NA,NA,NA,NA
"b_minute_pars_23",-0.571278875357054,NA,NA,NA,NA
"b_minute_pars_24",-0.0154250736872625,NA,NA,NA,NA
"b_minute_pars_25",-0.100273928195722,NA,NA,NA,NA
"b_minute_pars_26",0.10617380057143,NA,NA,NA,NA
"b_minute_pars_32",-0.289396919200749,NA,NA,NA,NA
"b_minute_pars_33",-0.124249267045576,NA,NA,NA,NA
"b_minute_pars_34",-0.165657482367716,NA,NA,NA,NA
"b_minute_pars_35",-0.469569570601734,NA,NA,NA,NA
"b_minute_pars_36",-0.0373470468625432,NA,NA,NA,NA
"b_minute_pars_42",0.452162405989614,NA,NA,NA,NA
"b_minute_pars_43",0.157640263449279,NA,NA,NA,NA
"b_minute_pars_44",0.34465599335932,NA,NA,NA,NA
"b_minute_pars_45",0.606329633014216,NA,NA,NA,NA
"b_minute_pars_46",0.667415671998401,NA,NA,NA,NA
"b_minute_pars_52",0.155350517892651,NA,NA,NA,NA
"b_minute_pars_53",-0.219794717428432,NA,NA,NA,NA
"b_minute_pars_54",-0.0319227742628541,NA,NA,NA,NA
"b_minute_pars_55",-0.125548085589418,NA,NA,NA,NA
"b_minute_pars_56",0.0614879886812237,NA,NA,NA,NA
"b_minute_pars_62",0.451951571766263,NA,NA,NA,NA
"b_minute_pars_63",-0.296046864411858,NA,NA,NA,NA
"b_minute_pars_64",-0.114419409587302,NA,NA,NA,NA
"b_minute_pars_65",-0.348694217285945,NA,NA,NA,NA
"b_minute_pars_66",-0.325353865607643,NA,NA,NA,NA
"b_minute_pars_72",-0.794116422785054,NA,NA,NA,NA
"b_minute_pars_73",0.109433160093088,NA,NA,NA,NA
"b_minute_pars_74",-0.293906777211143,NA,NA,NA,NA
"b_minute_pars_75",-0.603475783074049,NA,NA,NA,NA
"b_minute_pars_76",-0.443555736209381,NA,NA,NA,NA
"b_decider_yes2",-1.34638300690104,NA,NA,NA,NA
"b_decider_yes3",0.0248181256327899,NA,NA,NA,NA
"b_decider_yes4",-0.239073418852312,NA,NA,NA,NA
"b_decider_yes5",-0.0389888461249981,NA,NA,NA,NA
"b_decider_yes6",0.0339181898566712,NA,NA,NA,NA
"b_shot_hard_yes2",-0.300871429018445,NA,NA,NA,NA
"b_shot_hard_yes3",-0.500308484062088,NA,NA,NA,NA
"b_shot_hard_yes4",0.367939873205429,NA,NA,NA,NA
"b_shot_hard_yes5",0.306000383800324,NA,NA,NA,NA
"b_shot_hard_yes6",-0.447662866536925,NA,NA,NA,NA
"b_ball_placed_yes2",-5.19269844252845,NA,NA,NA,NA
"b_ball_placed_yes3",-0.18743923672629,NA,NA,NA,NA
"b_ball_placed_yes4",0.422470676319797,NA,NA,NA,NA
