"asc_TL","asc_TC","asc_TR","asc_DL","asc_DR","b_foot1","b_foot2","b_foot3","b_foot4","b_foot6","b_moveGK1","b_moveGK2","b_moveGK3","b_moveGK4","b_moveGK6","b_GKS1","b_GKS2","b_GKS3","b_GKS4","b_GKS6","b_IS1","b_IS2","b_IS3","b_IS4","b_IS6","b_comL1","b_comL2","b_comL3","b_comL4","b_comL6","b_HGK1","b_HGK2","b_HGK3","b_HGK4","b_HGK6","b_dec1","b_dec2","b_dec3","b_dec4","b_dec6","b_lp1","b_lp2","b_lp3","b_lp4","b_lp6","b_latr1","b_latr2","b_latr3","b_latr4","b_latr6","b_ladr1","b_ladr2","b_ladr3","b_ladr4","b_ladr6","b_sr1","b_sr3","b_perc","b_rnog1","b_rnog2","b_rnog3","b_rnog4","b_rnog6","b_solsbg1","b_solsbg2","b_solsbg3","b_solsbg4","b_solsbg6","b_nmovGK1","b_nmovGK2","b_nmovGK3","b_nmovGK4","b_nmovGK6","b_def1","b_def2","b_def3","b_def4","b_def6","logLike"
-0.682936898768661,0.15541637618094,1.08606081345916,0.0680905506126234,2.53931145303623,0.407682684298305,0.793137873021255,-0.61413948502465,0.377401585738908,-0.215062047578349,-0.0328627656556181,-0.106157229840645,0.0705746784828157,0.420620335610924,-0.307292289149431,0.237819065475116,0.02246483535407,-0.619634002070547,-0.154870366613372,-0.118419355399819,-0.224929621121828,-0.284064116012232,0.864673819376621,0.462731009052802,0.232618953525059,-0.701314301694196,-0.463187467306864,-0.130203332642478,-0.12995253761143,-0.0536897434859102,0.0244248377038226,0.0197954124627496,-0.0123518859189985,-0.0142641933466978,0.0282177205934498,0.347568748555808,-1.32884400101642,0.474362983972466,0.0724467000766538,0.176697277790212,0.0822327800594807,-0.566538400591897,-0.151978422870677,-0.171315299202763,0.175127520361444,0.443281028010132,0.962260033565041,1.02869975367642,0.688716220605782,0.543305011849681,-0.196830559175171,0.0355300073487538,-0.439773530369255,0.0889990204346335,-0.233455672683945,-0.344442776591349,-0.139018623494983,0.338160411981031,-0.601191302702366,-0.945713529262035,0.30277744707226,-0.29544007610983,-0.217942863107084,0.108038750685529,-0.597465322131949,-0.379630241692156,-0.43851589445122,-0.25545585210486,0.0791401513509449,-0.420575444821585,0.320331024727248,0.656072116132017,-0.705169923449313,0.429801874729597,1.36843247810882,0.612935895270052,0.675099869853891,0..511356742084028,-3453.31561261352
-0.649644762817638,0.166973391165263,1.11325976834815,0.0751857075930123,2.55388881742064,0.412924227289555,0.799230781412334,-0.613102063580203,0.380342262520019,-0.211896731843841,-0.0271329169416717,-0.118708146515829,0.0614875666549664,0.422722232623826,-0.307750671998548,0.214591206548735,0.0484422378384701,-0.617782650459354,-0.164700692538925,-0.12842922799429,-0.226433174932652,-0.296972633839341,0.845056880095153,0.472332194070156,0.251835158526265,-0.703482155826788,-0.480398577646354,-0.125531043445291,-0.126824785709951,-0.0524028564764975,0.0239349809653171,0.0198300463233977,-0.0125694144386405,-0.0146778112072084,0.0278400397143241,0.334693932364444,-1..32784272022861,0.480717875755691,0.0618044462424415,0.184538331502983,0.0798997510042923,-0.551515965209925,-0.156520997927261,-0.168902562553562,0.17340360661364,0.459275415914136,0.941665124194652,1.03060939870466,0.689654361251834,0.549636378718305,-0.209484192321413,0.0289857754858538,-0.43630039250494,0.0846615595076232,-0.234534571195886,-0.370815832802171,-0.154355907795439,0.33461051791251,-0.60575616369169,-0.974068875011874,0.316372075560551,-0.287853951170239,-0.213625683247954,0.111638929614485,-0.596347588533075,-0.367360264392499,-0.441476672141535,-0.265944778037734,0.0897262083541745,-0.447146188545252,0.302711616510657,0.660998106689719,-0.704985510362014,0.42251769998255,1.36152126516718,0.646071078831789,0.698281552302463,0.538020933566739,-3453.31398876861
-0.635734162899268,0.180186989526373,1.12920168228601,0.0819364831241225,2.56820047977299,0.421163042489429,0.806074261114854,-0.603985070544019,0.383984953826535,-0.209009178383888,-0.031113051113758,-0.118501478225632,0.0564629608897512,0.424451761127651,-0.307261086277339,0.215034927637773,0.0434834299161959,-0.614806317260489,-0.166159313952276,-0.132369776278663,-0.223485245711154,-0.304611197365781,0.839611819744489,0.467714423424932,0.263365537335439,-0.701786481305581,-0.478274837825588,-0.132532974551555,-0.13339877263966,-0.057242359515954,0.0235305911230075,0.0193242211828941,-0.0128752195419469,-0.0150909520660634,0.0274198572973782,0.34414361285479,-1.33994116717075,0.49201881588369,0.0613897377585551,0.186686138979381,0.0719048186328529,-0.557574114073163,-0.155400208123184,-0.172985244913008,0.167217759621527,0.453059269997888,0.937701694188612,1.03336485481345,0.688530412759454,0.550430701300029,-0.194058220668866,0.0369704631553925,-0.438790875780485,0.0907810177345523,-0.226624955706136,-0.391808914871739,-0.16632611556877,0.329770213677912,-0.597729552313869,-0.975297491531512,0.313767429184152,-0.292722562982004,-0.217262416634847,0.109234009217542,-0.593307607443906,-0.370110494229885,-0.440076206435052,-0.273142062497705,0.0796851057363143,-0.448215443964228,0.290020785371632,0.662677755843288,-0.705454100663361,0.443490700168019,1.37593074541962,0.677161103659467,0.692027779916162,0.531729862212237,-3453.30005127434
-0.632283545317551,0.186018037845194,1.13495432574362,0.0846410120699102,2.57439032044678,0.42442286884097,0.809477886314696,-0.602545310822249,0.38526692952658,-0.20792239971583,-0.0346386306133028,-0.117738777506615,0.0547764113611656,0.422321507058334,-0.307837234918236,0.21736030828087,0.0378024705418781,-0.613921259750332,-0.16430922273078,-0.134983416504792,-0.220829799421211,-0.306745630462181,0.84056736234843,0.465330839199291,0.26154712319896,-0.700466834519886,-0.479961891029048,-0.135327236163082,-0.133775021933737,-0.0586116719177115,0.0236074064123269,0.0191978928783252,-0.0128759099416232,-0.0150926553559993,0.0273914416113762,0.348260156567435,-1.34660280529354,0.493755819107657,0.0634241605265488,0.191413673841018,0.0726259783187909,-0.565176725451797,-0.1607679192844,-0.172903873344899,0.167376529554284,0.452880612757197,0.940748631724921,1.03401045563024,0.68465323218504,0.545991353595911,-0.194597892700835,0.0438648943662992,-0.432024569360415,0.0936222179005288,-0.223763071524829,-0.40052028307944,-0.171242496747522,0.328912955018632,-0.598708533186725,-0.970445826880823,0.30910372595863,-0.292807581227463,-0.218773036790171,0.107357382415605,-0.594110094629222,-0.372667513724754,-0.439640229497703,-0.273979634942427,0.0736622596595504,-0.445003399738424,0.287137762899962,0.659329678714276,-0.705175443000583,0.448350743227015,1.38100567090437,0.679297660242615,0.695082260512806,0.535654156878028,-3453.28594283702
-0.630844396336834,0.188193096483943,1.13703110330466,0.0874966536222046,2.57615015582002,0.423369756429441,0.809786656078234,-0.602774615514223,0.384716140991063,-0.208124964045445,-0.0343835469613368,-0.116582868855366,0.0554380010479852,0.421403647673438,-0.307921409527474,0.218978263898847,0.0354246067175067,-0.614987273580791,-0.162225182847559,-0.133045792278236,-0.219969616183607,-0.304982165504188,0.840089626394282,0.467648577767307,0.256789838812217,-0.702847441949089,-0.477868414875769,-0.134230070973775,-0.133755510846501,-0.0609154446313985,0.0235410365828193,0.0190654369928526,-0.0129894971751036,-0.0151740329609601,0.027321641415401,0.347652119447157,-1..34874937293271,0.494332378123964,0.0647946332470203,0.193458047164291,0.0729066598884667,-0.567223745129746,-0.162063972899329,-0.17337092043001,0.166914134254156,0.45218604506068,0.94293699017978,1.03266226372973,0.684100127585434,0.545157461369839,-0.194686368327634,0.0442323199053882,-0.429681927858094,0.0944253980274176,-0.223047908190963,-0.404400618693045,-0.17344444462052,0.329106092323275,-0.600733177308854,-0.970659973855638,0.311747686118196,-0.292412986159766,-0.221257455926292,0.106308645280519,-0.594090333030211,-0.371529604906296,-0.44043363854847,-0.272268036503187,0.0730276578339292,-0.443736667207047,0.287380644915756,0.656193987671925,-0.706445617277419,0.448030938031582,1.38252756983873,0.679826628414299,0.69404185353566,0.534841677204301,-3453.28194971393
-0.623921245231954,0.196372270227286,1.14315797957936,0.107213440538409,2.58946037705486,0.419079271049349,0.803350655851581,-0.610855885869393,0.378022771944113,-0.215001791979742,-0.0386200507150177,-0.11793077858708,0.0524900124595421,0.411464677063091,-0.313793159116607,0.219682234212113,0.0304136636933116,-0.62013990103247,-0.155627854236986,-0.131028676913922,-0.221372098047514,-0.295108664901223,0.840638071982015,0.459647360436427,0.242285479769484,-0.704935015943285,-0.485834552120644,-0.122118039273321,-0.132440925355737,-0.0608519408397277,0.0240396578098086,0.0193054594564647,-0.0124897166444744,-0.0147197534679497,0.0277625708381572,0.350582134047844,-1.35631618110555,0.499160523760773,0.0627678935944462,0.191255343032651,0.071988891775154,-0.571968778333,-0.16177010855935,-0.173170537078123,0.168100441272293,0.449135636652386,0.948104995611053,1.03657798515877,0.683096308586133,0.542773692631756,-0.188352420614147,0.0495117807102899,-0.432780378812017,0.0961899100541614,-0.221871386907558,-0.428535932303046,-0.187280263929712,0.328100868167252,-0.614744612426239,-0.963735779132249,0.31387935081268,-0.296018871587025,-0.226300876271818,0.102776588523748,-0.606746122574151,-0.3694539843115,-0.437818235970219,-0.266706210900493,0.0710669830889074,-0.43901766752452,0.288147718179912,0.641273976790195,-0.712524683913375,0.445028154229875,1.37712271572468,0.669679949129148,0.687166149743566,0.528972457134642,-3453.27606651243
-0.607708230567445,0.212959211241097,1.15285324611849,0.149758096170516,2.62138669994606,0.41048843971649,0.789730810210862,-0.617958320608283,0.369363880290118,-0.224418379913084,-0.0400089433083489,-0.115598956354528,0.0540908956159574,0.407348090811694,-0.314982860099473,0.226407621393571,0.028177740483578,-0.61399003619252,-0.152348464201149,-0.130785415063262,-0.232129160339728,-0.276534318936662,0.849303493351228,0.437403777954112,0.23488420655449,-0.709840668404235,-0.472764888404844,-0.12617193269664,-0.13920595397361,-0.0620312699736784,0.0239979271946117,0.0189161209633343,-0.0126713701111619,-0.0149256855893308,0.0274948741495879,0.356363684319512,-1.36665196583265,0.490287269898228,0.0650576738411118,0.191492967319435,0.0784686058088253,-0.581537231675548,-0.170483523585659,-0.173538812962473,0.170940843354649,0.454769912700371,0.950657677513549,1.03720024309953,0.680480287757942,0.53699146522306,-0.202742258630435,0.0563668769120038,-0.423186924106247,0.0941647878802083,-0.225286166653342,-0.477776865705729,-0.215659202746157,0.329489793054095,-0.614741011591608,-0.967740290522305,0.308286320421813,-0.303760060632191,-0.226886727234222,0.106953273083002,-0.611926250437768,-0.371551972231713,-0.428205897375427,-0.262034627310648,0.0630947169228537,-0.440537097562015,0.284331558866337,0.626662998432568,-0.721038031308188,0.443565756724238,1.36907017115922,0.638039163179632,0.671799026906996,0.513661179103903,-3453.27030764078
-0.605173452623057,0.215337972957284,1.15444059587421,0.153404826343532,2.6244420485437,0.410146990819519,0.791610416711109,-0.617952090845674,0.368817808864366,-0.224696699765155,-0.0412359003588679,-0.116669616332414,0.05344373858974,0.406895083057927,-0.315180021545304,0.227040113227282,0.0275372231463473,-0.612737977047611,-0.153923607357454,-0.131696765961741,-0.233735918016803,-0.278341820238002,0.849095743027767,0.440982623295413,0.233303906940533,-0.708725521252157,-0.473433018246286,-0.128278150018007,-0.1383754499024,-0.0628904888089748,0.0240440515274768,0.0189601550405007,-0.0126251784160077,-0.0149125793753414,0.0275140756656968,0.355187189209119,-1.36740487657576,0.487729940368832,0.066490323391279,0.19268365964382,0.078038527855247,-0.581022513865428,-0.171211582687731,-0.172766294265899,0.171815029390648,0.454729308832387,0.951957495860753,1.03825244226093,0.679450784304935,0.535593333912194,-0.202328251488448,0.055105426765923,-0.423200485849578,0.0939648608472826,-0.225546199908771,-0.483963866163822,-0.219231571218127,0.329308898802411,-0.613311812578731,-0.965731317859932,0.304785581435988,-0.302843570774911,-0.228064849746252,0.108289377374396,-0.611270616645089,-0.372490083564536,-0.42990460256899,-0.261805957598628,0.0612847792442976,-0.442114664472301,0.283439592549505,0.626390004714275,-0.720889497467115,0.441485030421723,1.36950527520217,0.636194814405613,0.669813482565953,0.511844306349703,-3453.26691404362
-0.590869060050773,0.22829769494993,1.16673771677063,0.150794834163365,2.63150243828099,0.415063944791119,0.802580339233415,-0.611268072932384,0.3753318505724,-0.217898829606179,-0.0434232223799706,-0.118414826806259,0.0535409687790553,0.404734471472375,-0.314166062829462,0.226290665952403,0.0228303442355704,-0.61513349065814,-0.152139340528098,-0.137614958298681,-0.228439247991638,-0.296510073050947,0.842895878246419,0.454227786572919,0.234649789607712,-0.71268520055475,-0.474389964677145,-0.139612298753768,-0.134917690256089,-0.0644350724231727,0.0241567286797891,0.0190187933682828,-0.0125855985170388,-0.01478517567554,0.0275350193242435,0.35825276695714,-1.3675893542174,0.491042669972515,0.0599879126334323,0.184823798788655,0.083205321189899,-0.582705165044529,-0.166893659578871,-0.172247995745037,0.172064656469728,0.449974406815654,0.955424607417346,1.03351680256222,0.68162883369545,0.537503062425475,-0.204860293698881,0.0548612514570423,-0.42425249098379,0..0932428618003491,-0.227049865513169,-0.507552660787934,-0.232826898146445,0.331259149344883,-0.614103808747483,-0.960760872822344,0.29670528721466,-0..293610702257869,-0.224192508583417,0.103916823515362,-0.601948114433323,-0..374992354994761,-0.434252185116351,-0.262383686980424,0.0538000445922004,-0.448994109554375,0.280847176520242,0.619109235695679,-0.721615478600962,0.434207941264749,1.37235110799892,0.63339671511804,0.669437738451902,0.511137973589537,-3453.26349086942
-0.568680388608693,0.248282401599207,1.18932076996548,0.141826083812875,2.63265485924379,0.426605585127346,0.812764944002909,-0.600374839151813,0.386017119681907,-0.207706484639809,-0.0486454011406516,-0.121929956761179,0.0513786988073947,0.40395393990088,-0.321775375093371,0.221379092638073,0.0171067037981742,-0.625546650821187,-0.153153897201891,-0.130533142861439,-0.214427126056874,-0.318624835782387,0.83610033281388,0.458552470527223,0.242772436953444,-0.71456719223636,-0.481263184664924,-0.143276545072626,-0.138353382364357,-0.0657788796469075,0.023949893818213,0.0188129950707931,-0.0127848043411158,-0.0148283019859202,0.0275349984737863,0.347730421837336,-1.36756749106721,0.485114885013227,0.0653831124917956,0.19049662626099,0.0847470790361541,-0.58401660111251,-0.166707171000823,-0.168693756160514,0.176139924831903,0.446740746771151,0.960259850900542,1.03406602393273,0.677655283088145,0.532992756927791,-0.203813548838351,0.0520171659276625,-0.425926832124875,0.0929415359054547,-0.227432963291899,-0.539945664055067,-0.251416499344717,0.330594219746831,-0.61179811026907,-0.957507290095968,0.297933541201246,-0.294056673488074,-0.222066635327998,0.0982585122238931,-0.59067704611657,-0.370930956220439,-0.436626537672064,-0.265722266017507,0.0452425850387316,-0.453501309371075,0.279328874576097,0.621264029885143,-0.733971720906321,0.438203880432011,1.37273679713307,0.634505373309009,0.672305987585778,0.513100913660738,-3453.26020900181
